date,mean summer thermocline depth
1957,21.58
1958,14.45
1982,15.33
1983,8.44
1984,13.19
1985,11.73
1986,10.71
1987,11.08
1988,13.14
1989,17.29
1990,14.26
1992,13.43
1993,17.14
1994,8.05
1995,13.13
1996,19.51
1997,21.37
1998,13.32
1999,14.98
2000,15.25
2001,12.7
2002,11.39
2003,10.86
2004,12.46
2005,12.28
2006,7.51
2007,17.0
2008,14.02
2009,12.69
2010,14.17
2011,13.55
2012,13.34
2013,9.36
2014,15.71
2015,11.03
2016,11.18
2017,16.89
2018,12.78
2019,12.86
2020,15.53
2021,11.75
2022,13.03
2023,12.35
