date,mean autumn bottom temperature
1941,5.2
1949,4.8
1950,5.64
1953,4.72
1954,5.33
1956,4.48
1958,6.09
1959,8.16
1960,5.78
1961,9.24
1962,6.33
1963,4.51
1964,4.56
1965,4.94
1966,5.23
1967,5.75
1968,5.07
1969,5.73
1970,5.07
1971,4.76
1972,6.03
1973,6.37
1974,5.01
1975,5.11
1976,5.28
1977,5.81
1978,5.16
1979,5.43
1980,5.16
1981,5.27
1982,5.34
1983,5.31
1984,5.04
1985,5.41
1986,5.13
1987,4.46
1988,4.85
1989,5.26
1990,4.9
1991,4.48
1992,5.3
1993,4.81
1994,5.31
1995,4.71
1996,4.53
1997,5.63
1998,5.3
1999,4.8
2000,5.36
2001,5.71
2002,5.74
2003,5.07
2004,5.15
2005,4.61
2006,5.02
2007,5.67
2008,5.87
2010,4.91
2011,4.94
2012,4.13
2013,4.25
2014,4.89
2015,5.59
2016,5.12
2017,4.8
2018,4.83
2019,5.69
2020,6.1
2021,5.69
2022,5.9
2023,5.7
