date,mean autumn epilimnion 0-10 m oxygen concentration
1941,7.22
1949,6.37
1950,7.77
1953,6.82
1954,7.53
1956,6.34
1958,4.46
1959,4.35
1960,5.57
1961,6.17
1962,7.73
1963,6.13
1964,6.31
1965,7.32
1966,6.5
1967,7.49
1968,5.21
1969,6.56
1970,8.33
1971,6.88
1972,7.26
1973,6.78
1974,6.86
1975,7.88
1976,5.75
1977,7.56
1978,6.37
1979,6.39
1980,6.42
1981,6.88
1982,7.01
1983,6.95
1984,6.44
1985,6.27
1986,6.91
1987,6.31
1988,6.88
1989,7.88
1990,7.74
1991,6.43
1992,8.06
1993,7.87
1994,8.2
1995,8.48
1996,7.87
1997,7.41
1998,8.24
1999,6.75
2000,6.67
2001,7.54
2002,7.8
2003,8.39
2004,7.15
2005,6.91
2006,7.61
2007,8.04
2008,7.71
2009,7.04
2010,7.03
2011,7.33
2012,8.32
2013,8.03
2014,7.46
2015,7.57
2016,7.13
2017,7.34
2018,8.28
2019,7.97
2020,7.72
2021,8.04
2022,8.63
2023,7.08
