date,mean autumn surface oxygen concentration
1941,9.54
1949,9.13
1950,9.27
1953,10.27
1954,10.47
1956,7.85
1958,4.96
1959,4.97
1960,6.83
1961,9.15
1962,8.14
1963,8.23
1964,8.89
1965,10.19
1966,13.38
1967,11.47
1968,7.12
1969,12.18
1970,13.52
1971,9.4
1972,8.07
1973,8.98
1974,8.14
1975,11.8
1976,10.35
1977,9.81
1978,8.81
1979,8.54
1980,9.43
1981,7.73
1982,9.84
1983,7.98
1984,8.38
1985,8.42
1986,9.05
1987,9.23
1988,8.91
1989,10.18
1990,8.47
1991,8.28
1992,9.14
1993,9.22
1994,11.16
1995,12.16
1996,9.43
1997,9.86
1998,9.46
1999,9.63
2000,9.52
2001,10.85
2002,8.66
2003,9.63
2004,9.8
2005,8.79
2006,9.48
2007,10.21
2008,9.85
2009,8.59
2010,8.64
2011,9.11
2012,11.37
2013,9.44
2014,11.72
2015,9.58
2016,8.64
2017,10.13
2018,9.44
2019,9.68
2020,9.19
2021,9.48
2022,10.07
2023,9.7
