date,mean early autumn bottom oxygen concentration
1941,0.36
1942,0.56
1949,0.03
1950,0.0
1953,0.0
1954,0.0
1956,0.01
1958,0.16
1959,0.09
1960,0.19
1961,0.34
1962,0.14
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.13
1975,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.36
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.12
1998,0.07
1999,0.09
2000,0.22
2001,0.1
2002,0.05
2003,0.1
2004,0.1
2005,0.1
2006,0.17
2007,0.57
2008,0.02
2010,0.0
2011,0.03
2012,0.07
2013,0.13
2014,0.17
2015,0.2
2016,0.23
2017,0.3
2018,0.4
2019,0.06
2020,0.09
2021,0.15
2022,0.47
2023,0.32
