date,mean early autumn hypolimnetic oxygen concentration
1941,0.94
1942,1.37
1949,0.39
1950,0.15
1953,0.21
1954,0.12
1956,0.36
1958,0.98
1959,0.61
1960,0.76
1961,0.48
1962,0.39
1963,0.15
1964,0.28
1965,0.14
1966,0.15
1967,0.26
1968,0.11
1969,0.18
1970,0.12
1971,0.0
1972,0.0
1973,0.14
1974,0.13
1975,0.2
1977,0.09
1978,0.15
1979,0.08
1980,0.0
1981,0.0
1982,0.01
1983,0.0
1984,0.16
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.35
1993,0.05
1994,0.24
1995,0.09
1996,1.17
1997,0.1
1998,0.07
1999,0.55
2000,0.31
2001,0.18
2002,0.07
2003,0.35
2004,0.43
2005,0.22
2006,0.38
2007,0.46
2008,0.19
2010,0.4
2011,0.32
2012,0.14
2013,0.76
2014,0.18
2015,0.29
2016,0.31
2017,0.32
2018,1.48
2019,0.25
2020,0.37
2021,0.61
2022,0.64
2023,0.4
