date,mean late autumn bottom oxygen concentration
1941,0.7
1949,0.0
1950,0.0
1953,0.0
1954,0.0
1956,1.94
1958,0.23
1959,0.52
1960,0.33
1961,3.12
1962,0.52
1963,0.0
1964,0.0
1965,0.01
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.06
1980,0.0
1981,0.08
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.1
2001,0.1
2002,0.04
2003,0.1
2004,0.1
2005,0.23
2006,0.1
2007,0.08
2008,0.0
2009,0.19
2010,0.02
2011,0.01
2012,0.11
2013,0.22
2014,0.17
2015,0.26
2016,0.3
2017,0.3
2018,0.4
2019,0.0
2020,0.12
2021,0.32
2022,0.48
2023,0.09
