date,mean late autumn hypolimnetic oxygen concentration
1941,2.63
1949,0.73
1950,1.79
1953,0.24
1954,0.11
1956,2.0
1958,3.99
1959,4.28
1960,4.62
1961,4.15
1962,3.06
1963,0.1
1964,0.24
1965,2.16
1966,0.48
1967,0.08
1968,0.65
1969,1.34
1970,0.2
1971,0.29
1972,1.03
1973,0.69
1974,0.93
1975,0.74
1976,0.69
1977,0.5
1978,0.42
1979,0.51
1980,0.8
1981,0.38
1982,1.55
1983,1.18
1984,0.0
1985,1.49
1986,0.02
1987,0.0
1988,0.23
1990,0.07
1991,1.69
1992,0.0
1993,0.0
1994,0.0
1995,0.21
1996,0.53
1997,0.46
1998,0.0
1999,0.0
2000,0.11
2001,0.1
2002,0.12
2003,0.1
2004,0.17
2005,0.53
2006,0.13
2007,1.16
2008,0.64
2009,0.46
2010,0.6
2011,0.1
2012,0.15
2013,0.82
2014,0.19
2015,0.34
2016,0.96
2017,0.36
2018,0.67
2019,1.18
2020,0.68
2021,1.33
2022,0.63
2023,0.64
