date,mean spring bottom temperature
1942,4.69
1949,4.43
1950,4.81
1953,4.22
1954,4.73
1956,3.9
1958,4.23
1959,4.66
1960,4.51
1961,4.8
1962,4.16
1963,3.98
1964,4.34
1965,4.17
1966,4.78
1967,5.13
1968,4.45
1969,4.95
1971,4.46
1972,5.09
1973,4.29
1974,4.36
1975,4.39
1976,4.58
1977,4.62
1978,4.73
1979,4.53
1980,4.89
1981,3.78
1982,4.04
1983,4.94
1984,4.64
1985,4.96
1986,4.84
1987,4.02
1988,4.51
1989,4.93
1990,4.69
1991,3.8
1992,4.74
1993,4.35
1994,4.75
1995,4.55
1996,4.08
1997,5.11
1998,4.94
1999,4.4
2000,4.99
2001,5.26
2002,5.21
2003,4.44
2004,4.7
2005,4.15
2007,5.52
2008,5.68
2009,4.28
2010,4.57
2011,4.57
2012,3.69
2013,3.89
2014,4.5
2015,5.33
2016,4.72
2017,4.33
2018,4.37
2019,5.33
2020,5.87
2021,4.91
2022,5.42
2023,5.2
