date,mean spring epilimnion 0-10 m oxygen concentration
1942,12.03
1949,13.36
1950,13.49
1953,11.98
1954,11.09
1956,12.32
1958,13.22
1959,14.07
1960,14.64
1961,12.19
1962,13.67
1963,8.07
1964,9.85
1965,6.93
1966,11.5
1967,10.44
1968,11.09
1969,9.98
1971,8.41
1972,7.35
1973,10.6
1974,11.54
1975,12.34
1976,12.77
1977,9.82
1978,12.01
1979,12.94
1980,10.74
1981,10.16
1982,10.11
1983,14.25
1984,13.22
1985,10.78
1986,9.23
1987,9.64
1988,12.0
1989,9.66
1990,11.35
1991,11.11
1992,10.65
1993,13.72
1994,13.43
1995,13.76
1996,13.14
1997,11.59
1998,11.34
1999,12.42
2000,12.73
2001,11.6
2002,11.2
2003,13.14
2004,12.15
2005,12.87
2006,9.95
2007,11.65
2008,11.82
2009,11.15
2010,11.56
2011,11.83
2012,12.66
2013,12.24
2014,10.85
2015,11.52
2016,11.36
2017,12.77
2018,12.54
2019,11.41
2020,11.33
2021,11.8
2022,11.56
2023,11.92
