date,mean spring surface oxygen concentration
1942,14.09
1949,17.9
1950,14.79
1953,15.5
1954,11.53
1956,16.52
1958,13.31
1959,19.83
1960,21.49
1961,13.39
1962,14.69
1963,9.08
1964,12.82
1965,7.36
1966,17.04
1967,11.64
1968,14.06
1969,10.66
1971,15.63
1972,9.84
1973,15.7
1974,20.47
1975,13.39
1976,18.02
1977,10.4
1978,12.79
1979,14.3
1980,12.32
1981,11.96
1982,11.48
1983,19.5
1984,13.98
1985,17.43
1986,9.32
1987,11.36
1988,13.09
1989,10.31
1990,12.44
1991,13.05
1992,9.96
1993,14.8
1994,14.19
1995,14.65
1996,13.23
1997,11.77
1998,12.11
1999,12.98
2000,12.45
2001,11.75
2002,11.25
2003,12.55
2004,11.75
2005,13.76
2006,9.94
2007,10.93
2008,12.15
2009,12.46
2010,11.79
2011,11.07
2012,12.7
2013,11.85
2014,10.79
2015,11.76
2016,11.77
2017,13.42
2018,12.06
2019,11.56
2020,10.96
2021,11.77
2022,11.59
2023,11.93
