date,mean summer bottom temperature
1942,5.78
1949,4.85
1950,5.82
1953,4.77
1954,5.34
1956,4.33
1958,5.2
1959,7.07
1960,4.66
1961,6.87
1962,5.4
1963,4.37
1964,5.23
1965,4.71
1966,5.12
1967,5.72
1968,5.12
1969,5.71
1970,4.92
1971,4.63
1972,5.96
1973,4.77
1974,4.71
1975,5.3
1976,5.32
1977,5.94
1978,5.44
1979,5.19
1980,5.68
1981,4.73
1982,5.1
1983,5.33
1984,4.95
1985,5.59
1986,5.11
1987,4.42
1988,4.7
1989,5.16
1990,4.51
1991,4.17
1992,5.2
1993,4.82
1994,5.38
1995,4.56
1996,5.39
1997,5.48
1998,5.12
1999,4.59
2000,5.27
2001,5.59
2002,5.55
2003,4.93
2004,5.06
2005,4.46
2006,4.95
2007,5.57
2008,5.8
2009,4.63
2010,4.8
2011,4.77
2012,3.98
2013,4.22
2014,4.7
2015,5.52
2016,5.05
2017,4.62
2018,4.72
2019,5.53
2020,6.02
2021,5.51
2022,5.82
2023,5.6
