date,mean summer Secchi depth
1942,2.48
1949,2.17
1950,2.32
1953,2.02
1954,3.89
1956,3.66
1958,2.78
1959,3.51
1960,1.89
1961,2.02
1962,2.49
1963,3.61
1964,1.33
1965,3.41
1966,2.18
1967,2.51
1968,1.98
1969,1.54
1970,1.11
1971,2.03
1972,2.32
1973,1.58
1974,1.13
1975,2.22
1976,0.87
1977,1.18
1978,2.1
1979,1.39
1980,1.24
1981,2.68
1982,3.07
1983,2.33
1984,3.3
1985,3.31
1986,2.43
1987,2.59
1988,1.93
1989,2.74
1990,2.39
1991,2.58
1992,3.05
1993,2.01
1994,2.54
2000,2.28
2001,1.51
2002,2.83
2003,2.72
2004,2.65
2005,3.73
2006,3.55
2007,2.5
2008,2.86
2009,2.37
2010,1.9
2011,2.55
2012,2.0
2013,3.97
2014,1.54
2015,2.44
2016,2.57
2017,1.56
2018,4.22
2019,2.01
2020,2.39
2021,3.39
2022,1.4
2023,2.02
