date,mean autumn epilimnion 0-5 m oxygen concentration
1950,11.46
1954,10.28
1955,9.89
1967,11.27
1968,10.21
1970,11.57
1974,9.67
1975,11.41
1977,11.13
1984,10.42
1985,10.21
1986,10.84
1987,9.36
1988,10.27
1989,9.27
1990,9.82
1991,10.02
1992,10.15
1993,10.05
1994,9.48
1995,11.34
1996,9.51
1997,8.43
1998,9.65
1999,10.79
2000,7.89
2001,11.55
2002,9.98
2003,9.78
2004,9.6
2005,9.87
2006,9.11
2007,8.86
2008,10.42
2009,8.66
2010,9.35
2011,9.31
2012,9.8
2013,9.86
2014,10.2
2015,9.32
2016,9.21
2017,9.7
2018,8.8
2019,9.39
2020,9.91
2021,9.89
2022,9.91
2023,9.04
