date,mean autumn hypolimnetic density
1975,1000.1277
1977,1000.1445
1984,1000.1528
1985,1000.1512
1986,1000.1476
1987,1000.1379
1988,1000.145
1989,1000.1208
1990,1000.1157
1991,1000.1445
1992,1000.1415
1993,1000.1496
1994,1000.1304
1995,1000.1293
1996,1000.1511
1997,1000.1416
1998,1000.1266
1999,1000.1542
2000,1000.1494
2001,1000.1257
2002,1000.1218
2003,1000.1519
2004,1000.1502
2005,1000.1514
2006,1000.1613
2007,1000.1353
2008,1000.1382
2009,1000.161
2010,1000.1565
2011,1000.1621
2012,1000.1514
2013,1000.1577
2014,1000.1368
2015,1000.1321
2016,1000.1176
2017,1000.1357
2018,1000.1491
2019,1000.107
2020,1000.0948
2021,1000.1109
2022,1000.1195
2023,1000.1425
