date,mean autumn surface oxygen concentration
1950,11.68
1954,10.29
1955,9.85
1967,11.0
1968,10.21
1970,11.29
1974,9.69
1975,11.56
1977,11.13
1984,10.5
1985,10.4
1986,10.77
1987,9.37
1988,10.4
1989,9.1
1990,9.89
1991,10.02
1992,10.15
1993,10.01
1994,9.44
1995,10.79
1996,9.53
1997,8.64
1998,9.7
1999,10.14
2000,6.3
2001,11.52
2002,10.05
2003,9.84
2004,9.54
2005,10.09
2006,9.07
2007,8.86
2008,10.59
2009,8.69
2010,9.36
2011,9.34
2012,9.82
2013,9.81
2014,10.19
2015,9.32
2016,9.22
2017,9.68
2018,8.78
2019,9.36
2020,9.88
2021,10.02
2022,9.91
2023,9.16
