date,mean autumn surface temperature
1910,13.68
1950,14.1
1954,14.36
1955,13.52
1970,14.32
1974,12.03
1975,14.49
1977,14.4
1984,13.16
1985,15.86
1986,14.92
1987,14.14
1988,13.05
1989,13.67
1990,14.12
1991,14.94
1992,14.12
1993,13.44
1994,14.24
1995,14.77
1996,12.93
1997,13.02
1998,13.54
1999,14.51
2000,16.78
2001,14.49
2002,14.02
2003,13.66
2004,15.74
2005,15.48
2006,15.74
2007,15.06
2008,13.83
2009,15.57
2010,13.84
2011,15.81
2012,15.06
2013,14.77
2014,16.66
2015,13.97
2016,14.52
2017,15.3
2018,16.61
2019,16.15
2020,16.46
2021,14.93
2022,16.25
2023,17.43
