date,mean early autumn hypolimnetic oxygen concentration
1950,7.47
1954,7.95
1955,7.98
1966,7.22
1967,8.02
1968,7.83
1970,7.32
1972,3.39
1974,5.91
1975,6.57
1976,5.73
1978,4.66
1979,3.88
1980,4.47
1981,4.52
1982,4.82
1983,4.59
1984,5.69
1985,6.82
1986,6.92
1987,7.14
1988,6.99
1989,5.62
1990,5.85
1991,5.62
1992,6.71
1993,5.44
1994,5.53
1995,5.6
1996,5.7
1997,5.15
1998,5.53
1999,6.81
2000,5.37
2001,6.46
2002,6.73
2003,5.86
2004,6.12
2005,6.88
2006,7.18
2007,4.82
2008,6.66
2009,6.91
2010,7.22
2011,5.88
2012,5.98
2013,6.29
2014,4.37
2015,6.77
2016,6.36
2017,6.37
2018,7.72
2019,6.37
2020,6.82
2021,7.09
2022,6.72
2023,6.56
