date,mean late autumn hypolimnetic oxygen concentration
1950,9.42
1954,6.48
1955,7.36
1967,6.35
1968,6.02
1970,6.4
1974,6.84
1975,5.95
1984,3.91
1985,5.66
1986,6.27
1987,6.13
1988,6.28
1989,4.49
1990,4.9
1991,5.19
1992,6.15
1993,4.95
1994,4.99
1995,4.81
1996,5.03
1997,4.52
1998,5.5
1999,5.48
2000,5.02
2001,5.29
2002,6.75
2003,5.7
2004,5.48
2005,6.17
2006,5.09
2007,5.62
2008,5.84
2009,6.45
2010,6.82
2011,5.47
2012,5.39
2013,6.03
2014,3.73
2015,5.65
2016,5.33
2017,5.26
2018,6.36
2019,5.5
2021,5.77
2022,5.85
2023,5.9
