date,mean late autumn Schmidt stability
1910,724.78
1950,1012.16
1954,1000.64
1955,916.57
1969,787.39
1970,892.45
1974,565.64
1975,634.89
1984,882.11
1985,567.94
1986,579.6
1987,911.43
1988,582.21
1989,758.92
1990,650.56
1991,702.42
1992,627.69
1993,589.8
1994,1016.42
1995,821.56
1996,823.46
1997,714.02
1998,793.55
1999,1087.95
2000,2256.91
2001,909.37
2002,793.82
2003,612.29
2004,1214.11
2005,1279.18
2006,1273.27
2007,708.27
2008,819.32
2009,810.34
2010,817.01
2011,1238.55
2012,937.79
2013,1190.31
2014,1450.96
2015,1244.07
2016,877.78
2017,1314.53
2018,1374.12
2019,1590.34
2021,1211.38
2022,1748.12
2023,1269.51
