date,mean spring bottom temperature
1910,4.16
1911,4.15
1951,4.0
1954,4.11
1955,3.96
1969,3.95
1970,3.66
1972,4.2
1975,4.51
1976,3.93
1977,4.08
1984,3.91
1985,4.24
1986,4.06
1987,3.93
1988,4.76
1989,4.78
1990,5.07
1991,4.18
1992,4.4
1993,4.05
1994,4.99
1995,5.35
1996,4.27
1997,4.45
1998,5.0
1999,4.32
2000,4.6
2001,5.36
2002,5.24
2003,4.68
2004,4.71
2005,4.23
2006,4.39
2007,5.13
2008,4.95
2009,4.12
2010,3.79
2011,3.89
2012,3.7
2013,4.06
2014,4.55
2015,5.2
2017,4.74
2018,4.4
2019,5.21
2020,6.01
2021,5.32
2022,5.46
2023,5.56
