date,mean spring epilimnion 0-10 m oxygen concentration
1951,12.25
1954,11.9
1955,13.06
1968,14.26
1969,10.87
1970,11.15
1972,11.38
1975,11.33
1976,11.92
1984,11.62
1985,10.83
1986,10.83
1987,12.12
1988,14.97
1989,12.71
1990,12.29
1991,14.07
1992,13.36
1993,14.01
1994,12.97
1995,12.25
1996,13.69
1997,12.58
1998,12.86
1999,13.1
2000,14.39
2001,12.43
2002,12.71
2003,13.17
2004,12.44
2005,12.33
2006,12.69
2007,13.87
2008,12.37
2009,12.99
2010,12.06
2011,13.98
2012,12.14
2013,10.29
2014,12.05
2015,11.94
2017,12.27
2018,13.76
2019,14.42
2020,12.28
2021,11.88
2022,12.41
2023,11.8
