date,mean spring Schmidt stability
1910,170.22
1911,592.56
1951,298.57
1954,64.0
1955,202.04
1969,106.84
1970,15.42
1972,128.39
1975,147.02
1976,545.58
1984,158.97
1985,24.1
1986,34.98
1987,128.77
1988,405.32
1989,242.14
1990,198.58
1991,199.45
1992,159.14
1993,206.68
1994,168.56
1995,208.08
1996,337.97
1997,348.5
1998,355.16
1999,144.45
2000,351.92
2001,256.64
2002,352.69
2003,447.26
2004,280.43
2005,288.47
2006,181.06
2007,912.57
2008,283.63
2009,640.45
2010,160.76
2011,807.02
2012,231.05
2013,164.55
2014,519.17
2015,407.79
2017,524.93
2018,462.76
2019,483.35
2020,786.19
2021,232.26
2022,450.95
2023,357.59
