date,mean summer bottom temperature
1910,4.56
1911,4.4
1951,4.0
1954,4.46
1955,4.19
1969,4.14
1970,4.07
1972,4.68
1974,4.25
1975,4.4
1976,4.1
1978,4.2
1980,4.35
1981,3.95
1982,4.0
1983,4.16
1984,4.07
1985,4.49
1986,4.28
1987,4.1
1988,4.81
1989,5.0
1990,5.27
1991,4.4
1992,4.61
1993,4.42
1994,5.25
1995,5.42
1996,4.5
1997,4.99
1998,5.19
1999,4.75
2000,4.95
2001,5.69
2002,5.5
2003,4.92
2004,5.01
2005,4.4
2006,4.63
2007,5.18
2008,5.11
2009,4.26
2010,4.03
2011,4.01
2012,3.91
2013,4.22
2014,4.74
2015,5.4
2016,5.62
2017,4.99
2018,4.68
2019,5.48
2020,6.15
2021,5.62
2022,5.76
2023,5.81
