date,mean summer epilimnion 0-5 m oxygen concentration
1951,11.96
1954,11.34
1955,10.41
1967,11.2
1968,10.85
1970,13.66
1972,11.23
1974,11.03
1975,13.74
1976,13.69
1978,13.17
1980,12.56
1981,12.79
1982,14.33
1983,13.45
1984,12.09
1985,13.25
1986,13.54
1987,11.42
1988,12.71
1989,11.38
1990,11.95
1991,12.0
1992,11.79
1993,11.21
1994,13.88
1995,12.71
1996,10.92
1997,12.1
1998,10.59
1999,12.84
2000,11.05
2001,12.83
2002,11.77
2003,11.0
2004,11.25
2005,11.36
2006,11.13
2007,11.32
2008,10.65
2009,11.18
2010,11.43
2011,10.17
2012,10.06
2013,13.07
2014,10.94
2015,11.34
2016,10.78
2017,11.2
2018,11.18
2019,12.14
2020,10.43
2021,11.76
2022,9.48
2023,11.08
