date,mean summer hypolimnetic oxygen concentration
1951,10.99
1954,9.26
1955,9.59
1967,8.46
1968,8.42
1970,8.48
1972,4.77
1974,7.13
1975,8.22
1976,6.74
1978,6.58
1980,6.27
1981,5.94
1982,6.24
1983,6.68
1984,7.0
1985,8.16
1986,8.3
1987,8.82
1988,8.35
1989,6.89
1990,7.65
1991,7.91
1992,8.03
1993,7.47
1994,7.35
1995,7.69
1996,7.4
1997,6.63
1998,7.46
1999,7.94
2000,7.43
2001,7.58
2002,8.24
2003,7.18
2004,7.76
2005,8.03
2006,8.97
2007,6.41
2008,7.89
2009,8.11
2010,8.36
2011,6.94
2012,7.15
2013,7.77
2014,5.61
2015,8.16
2016,7.84
2017,7.57
2018,9.02
2019,8.72
2020,7.87
2021,8.73
2022,7.9
2023,7.87
