date,mean summer Secchi depth
1910,2.6
1911,3.49
1951,3.22
1969,3.86
1972,3.51
1974,3.7
1975,2.4
1976,2.98
1978,3.74
1980,2.3
1981,3.38
1982,2.22
1983,3.48
1984,1.89
1985,2.22
1986,2.64
1987,4.4
1988,2.05
1989,3.08
1990,4.09
1991,4.97
1992,3.43
1993,3.16
1994,3.52
1995,3.54
1996,2.51
1997,2.78
1998,4.08
1999,1.95
2000,4.29
2001,2.8
2002,2.62
2003,2.61
2004,3.82
2005,1.87
2006,2.51
2007,2.73
2008,2.58
2009,2.18
2010,3.4
2011,3.32
2012,3.34
2013,3.94
2014,3.35
2015,2.79
2016,3.87
2017,3.07
2018,4.83
2019,2.7
2020,3.32
2022,2.79
