date,mean summer surface oxygen concentration
1951,11.37
1954,10.46
1955,10.27
1967,11.32
1968,10.65
1970,13.54
1972,11.22
1974,11.39
1975,13.5
1976,13.69
1978,13.17
1980,12.56
1981,12.79
1982,14.33
1983,13.45
1984,12.1
1985,13.14
1986,14.25
1987,11.62
1988,12.71
1989,11.11
1990,11.86
1991,11.34
1992,11.24
1993,10.5
1994,12.34
1995,11.77
1996,10.77
1997,12.33
1998,10.4
1999,13.21
2000,11.34
2001,12.88
2002,11.3
2003,10.87
2004,11.12
2005,11.71
2006,10.38
2007,11.04
2008,10.6
2009,11.08
2010,10.44
2011,10.09
2012,9.96
2013,12.76
2014,10.95
2015,10.47
2016,10.81
2017,10.82
2018,10.1
2019,12.16
2020,10.37
2021,11.18
2022,9.38
2023,10.16
