date,mean summer surface temperature
1910,23.24
1911,24.12
1951,22.54
1954,19.64
1955,20.11
1969,22.92
1970,21.51
1972,21.19
1974,19.85
1975,22.98
1976,21.62
1978,19.8
1980,19.36
1981,18.86
1982,20.78
1983,21.4
1984,20.67
1985,21.32
1986,21.24
1987,19.32
1988,19.93
1989,22.02
1990,21.95
1991,22.41
1992,22.77
1993,21.01
1994,23.6
1995,23.08
1996,18.52
1997,20.38
1998,21.82
1999,21.7
2000,19.14
2001,21.66
2002,22.94
2003,24.96
2004,21.07
2005,20.86
2006,23.97
2007,21.47
2008,20.85
2009,20.63
2010,23.9
2011,21.92
2012,20.24
2013,22.74
2014,19.92
2015,23.83
2016,20.88
2017,21.91
2018,24.34
2019,20.87
2020,21.62
2021,20.94
2022,23.21
2023,22.73
