date,mean summer thermocline depth
1910,2.83
1951,7.54
1954,7.66
1955,9.18
1969,4.65
1970,5.49
1972,6.12
1974,7.79
1975,6.03
1976,5.0
1978,6.46
1980,5.52
1981,5.5
1982,5.0
1983,5.26
1984,6.83
1985,6.2
1986,4.45
1987,6.23
1988,6.7
1989,5.39
1990,5.51
1991,6.17
1992,6.26
1993,7.3
1994,5.57
1995,5.03
1996,8.4
1997,6.9
1998,8.15
1999,6.11
2000,7.76
2001,7.09
2002,6.16
2003,6.36
2004,7.47
2005,6.63
2006,4.66
2007,9.9
2008,6.38
2009,6.77
2010,5.86
2011,7.21
2012,7.42
2013,5.31
2014,7.68
2015,6.43
2016,6.02
2017,7.23
2018,5.96
2019,6.12
2020,7.72
2021,6.44
2022,6.48
2023,6.52
