date,mean annual heat content
1996,4159487463.29
1997,4191083523.65
1998,4213714478.9
1999,4095153993.83
2000,4194248936.22
2001,4293620091.84
2002,4247821627.83
2003,4282910756.42
2004,4205934617.55
2005,4040060523.93
2006,3963771922.59
2007,4236594443.29
2008,4283466350.33
2009,4186066389.38
2010,3986056537.96
2011,4012169195.97
2012,4021763590.5
2013,4006828618.66
2014,4261242495.95
2015,4357455987.84
2016,4448708935.06
2017,4438831379.88
2018,4349463164.04
2019,4400198017.07
2020,4501882695.22
2021,4532570820.31
2022,4614527801.07
2023,4634862949.65
