date,mean autumn epilimnion 0-5 m oxygen concentration
1950,9.98
1951,11.37
1952,11.17
1953,12.21
1954,11.79
1956,8.87
1961,9.53
1968,9.78
1969,10.52
1970,10.97
1974,10.23
1976,10.12
1977,10.95
1978,9.87
1979,7.92
1980,11.38
1981,8.52
1982,9.92
1983,9.18
1984,9.08
1985,8.79
1987,11.24
1988,9.41
1989,9.17
1990,9.14
1991,9.48
1992,9.62
1993,9.39
1994,10.18
1995,10.34
1996,10.27
1997,9.39
1998,9.72
2000,9.02
2002,9.76
2003,9.4
2004,8.63
2005,9.69
2006,9.26
2007,8.84
2008,8.22
2009,8.85
2010,9.01
2012,9.58
2013,9.76
2014,9.29
2015,9.67
2016,9.24
2017,9.29
2018,9.02
2019,9.51
2020,9.49
2021,9.34
2022,9.66
2023,9.56
