date,mean autumn hypolimnetic density
1961,1000.1179
1968,1000.1274
1969,1000.1309
1976,1000.157
1982,1000.1607
1983,1000.1432
1984,1000.1481
1985,1000.1507
1987,1000.1495
1988,1000.1496
1989,1000.1505
1990,1000.1486
1991,1000.1548
1992,1000.1526
1993,1000.1469
1994,1000.1588
1995,1000.1386
1996,1000.1426
1997,1000.1418
1998,1000.1435
2002,1000.1365
2003,1000.1441
2004,1000.1397
2005,1000.1518
2006,1000.1581
2007,1000.1471
2008,1000.1386
2009,1000.1487
2010,1000.1498
2012,1000.1496
2013,1000.1542
2014,1000.1479
2015,1000.1505
2016,1000.1467
2017,1000.1521
2018,1000.1503
2019,1000.1349
2020,1000.1337
2021,1000.1341
2022,1000.1368
2023,1000.1354
