date,mean autumn hypolimnetic oxygen concentration
1950,4.12
1951,5.45
1952,5.54
1953,6.82
1954,6.37
1956,5.35
1961,4.81
1968,5.81
1969,5.71
1970,5.47
1974,4.38
1976,3.72
1977,3.46
1978,4.46
1979,4.3
1980,4.25
1981,3.77
1982,4.18
1983,5.06
1984,5.2
1985,5.23
1987,4.44
1988,4.31
1989,3.12
1990,3.04
1991,3.31
1992,3.79
1993,3.75
1994,4.34
1995,3.9
1996,4.63
1997,4.39
1998,3.9
2000,4.94
2002,4.9
2003,4.95
2004,5.05
2005,5.45
2006,5.55
2007,4.55
2008,3.67
2009,4.37
2010,4.22
2012,4.74
2013,4.9
2014,3.52
2015,3.59
2016,3.14
2017,3.57
2018,5.07
2019,4.21
2020,3.7
2021,4.02
2022,4.17
2023,3.72
