date,mean early autumn bottom oxygen concentration
1950,0.35
1951,0.37
1952,0.81
1953,1.93
1956,1.35
1976,0.13
1977,0.23
1978,0.79
1979,0.1
1980,0.1
1981,0.1
1982,0.1
1983,0.18
1984,0.1
1985,0.1
1986,0.1
1987,0.73
1988,0.11
1989,0.1
1990,0.1
1991,0.03
1992,0.24
1993,0.08
1994,0.09
1995,0.04
1996,0.07
2000,1.0
2002,0.63
2003,0.38
2004,0.37
2005,1.43
2006,0.96
2007,0.27
2008,0.19
2009,0.19
2010,0.28
2012,1.07
2013,0.3
2014,0.35
2015,0.35
2016,0.3
2017,0.3
2018,0.3
2019,0.3
2020,0.1
2021,0.1
2022,0.1
2023,0.1
