date,mean early autumn hypolimnetic oxygen content
1950,10290.27
1951,12877.7
1952,10990.02
1953,16711.45
1956,13961.08
1976,9610.29
1977,9280.04
1978,11281.94
1979,11825.6
1980,11209.24
1981,10116.49
1982,11130.85
1983,12802.95
1984,13815.87
1985,13990.33
1986,13331.69
1987,12686.76
1988,11504.46
1989,8271.33
1990,8038.36
1991,8702.52
1992,9689.81
1993,10305.85
1994,11817.06
1995,9895.34
1996,11728.49
2000,12759.71
2002,13064.8
2003,12864.62
2004,13154.79
2005,14692.09
2006,14930.92
2007,12259.91
2008,9073.49
2009,12342.11
2010,9595.37
2012,13363.89
2013,12484.09
2014,9309.12
2015,9355.29
2016,8455.74
2017,9579.8
2018,12671.37
2019,11041.77
2020,9739.9
2021,10484.71
2022,10344.59
2023,10146.03
