date,mean early autumn thermocline depth
1950,11.96
1951,11.44
1952,12.49
1953,10.11
1956,11.6
1976,12.98
1977,11.89
1978,10.77
1979,10.85
1980,10.66
1981,11.87
1982,10.99
1983,11.21
1984,12.19
1985,9.44
1986,10.14
1987,8.87
1988,10.44
1989,11.79
1990,10.73
1991,9.75
1992,11.56
1993,12.47
1994,11.39
1995,9.52
1996,9.34
2000,10.36
2002,11.68
2003,11.44
2004,10.87
2005,11.13
2006,11.25
2007,12.18
2008,12.28
2009,10.79
2010,11.74
2012,11.88
2013,11.81
2014,11.86
2015,11.18
2016,10.13
2017,12.05
2018,11.62
2019,12.18
2020,11.73
2021,11.59
2022,11.95
2023,11.67
