date,mean late autumn bottom oxygen concentration
1950,0.12
1951,0.55
1952,1.08
1953,2.71
1954,1.12
1973,0.23
1976,0.18
1978,0.78
1979,0.1
1980,0.1
1981,0.1
1982,0.43
1983,0.1
1984,0.1
1985,0.1
1987,0.21
1988,0.1
1989,0.1
1990,0.1
1991,0.03
1992,0.13
1993,0.11
1995,0.07
1996,0.11
1997,0.1
1998,0.08
2000,0.8
2002,1.3
2003,0.29
2004,0.31
2005,0.6
2006,0.66
2007,0.3
2008,0.1
2009,0.3
2010,0.04
2011,0.1
2012,0.37
2013,0.3
2014,0.3
2015,0.3
2016,0.3
2017,0.3
2018,0.3
2019,0.3
2020,0.1
2021,0.1
2022,0.1
2023,0.1
