date,mean late autumn hypolimnetic oxygen concentration
1950,3.68
1951,5.83
1952,4.95
1953,5.63
1954,6.51
1973,4.52
1976,3.43
1978,4.41
1979,4.21
1980,3.83
1981,3.95
1982,4.0
1983,5.02
1984,5.16
1985,5.11
1987,4.28
1988,4.18
1989,3.03
1990,3.05
1991,3.34
1992,3.57
1993,4.15
1995,3.72
1996,4.58
1997,4.24
1998,3.94
2000,4.89
2002,5.41
2003,4.71
2004,4.95
2005,5.51
2006,5.51
2007,4.38
2008,3.49
2009,4.2
2010,3.99
2011,3.81
2012,4.55
2013,4.76
2014,3.39
2015,3.62
2016,3.06
2017,3.64
2018,4.64
2019,4.17
2020,3.49
2021,3.88
2022,4.07
2023,3.79
