date,mean spring epilimnion 0-10 m oxygen concentration
1951,10.7
1952,12.44
1953,11.49
1960,12.25
1961,11.5
1969,10.49
1975,11.54
1976,13.65
1977,10.08
1978,11.68
1979,11.21
1980,12.29
1981,11.68
1982,12.57
1983,11.76
1984,11.74
1985,10.82
1986,10.84
1987,15.2
1988,12.16
1989,12.56
1990,11.71
1991,11.91
1992,10.64
1994,12.69
1995,12.9
1996,11.95
1997,12.61
1998,12.7
1999,11.45
2000,10.88
2001,10.39
2004,13.11
2005,11.92
2006,12.69
2007,13.01
2008,11.24
2009,10.53
2010,11.62
2011,11.97
2012,11.36
2013,10.92
2014,12.96
2015,13.72
2016,11.69
2017,9.99
2018,11.28
2019,10.88
2020,12.2
2021,12.96
2022,13.45
2023,10.98
