date,mean summer bottom oxygen concentration
1950,0.24
1951,0.77
1952,0.48
1953,1.74
1975,0.22
1976,0.29
1977,0.18
1978,0.94
1979,0.22
1980,0.1
1981,0.12
1982,0.1
1983,0.3
1984,0.1
1985,0.1
1986,0.1
1987,0.79
1988,0.1
1989,0.1
1990,0.1
1991,0.0
1992,0.36
1993,0.07
1994,0.17
1995,0.16
1996,0.09
1997,0.11
1998,0.17
1999,0.11
2000,0.57
2001,0.77
2002,0.68
2003,0.63
2004,0.37
2005,0.99
2006,1.4
2007,0.16
2008,0.3
2009,0.49
2010,0.3
2011,0.1
2013,0.35
2014,0.32
2015,0.31
2016,0.3
2017,0.3
2018,0.3
2019,0.17
2020,0.26
2021,0.1
2022,0.1
2023,0.1
