date,mean summer hypolimnetic oxygen concentration
1950,4.52
1951,5.29
1952,5.87
1953,6.38
1975,4.84
1976,4.33
1977,4.2
1978,5.14
1979,5.41
1980,5.11
1981,4.91
1982,4.75
1983,5.67
1984,6.02
1985,5.93
1986,6.01
1987,5.74
1988,5.12
1989,3.78
1990,3.73
1991,4.07
1992,4.35
1993,4.56
1994,5.21
1995,4.49
1996,4.92
1997,5.21
1998,4.6
1999,5.12
2000,5.75
2001,5.44
2002,5.73
2003,5.65
2004,5.67
2005,6.29
2006,6.31
2007,5.26
2008,4.04
2009,5.11
2010,4.18
2011,4.13
2013,5.48
2014,4.28
2015,4.35
2016,3.83
2017,4.3
2018,5.66
2019,4.92
2020,4.4
2021,4.84
2022,4.57
2023,4.64
