date,mean summer Schmidt stability
1950,12477.07
1951,9952.27
1952,12397.19
1953,9226.65
1975,10470.76
1976,10060.53
1977,9485.65
1978,7898.37
1979,9974.48
1980,6936.31
1981,7326.14
1982,9711.62
1983,12530.19
1984,8815.5
1985,8298.14
1986,8426.44
1987,6816.79
1988,10962.59
1989,11247.92
1990,10331.2
1991,9022.1
1992,9379.76
1993,9713.41
1994,10917.43
1995,7779.96
1996,8586.47
1997,8843.36
1998,11430.34
1999,7947.62
2000,7772.53
2001,10597.18
2002,11289.21
2003,10712.68
2004,9520.34
2005,10263.98
2006,11204.28
2007,11174.14
2008,10391.46
2009,11615.71
2010,12060.57
2011,10007.63
2012,11729.51
2013,10912.61
2014,12147.56
2015,13678.98
2016,9812.78
2017,10737.74
2018,13988.29
2019,15561.58
2020,13255.32
2021,11619.65
2022,15396.56
2023,12577.4
