date,mean winter Schmidt stability
1951,-3.35
1953,33.38
1975,177.68
1977,-15.41
1978,35.7
1979,-13.23
1980,13.99
1981,-5.01
1983,115.92
1985,-22.03
1988,194.46
1989,72.15
1990,82.24
1991,58.63
1992,-14.64
1993,54.89
1994,66.94
1996,109.76
1997,2.16
1998,211.19
1999,7.14
2000,-9.08
2001,326.78
2003,230.63
2005,93.7
2006,-31.62
2007,264.87
2008,104.02
2009,41.19
2010,75.75
2011,109.7
2012,80.54
2013,380.02
2014,198.57
2015,499.45
2016,479.04
2017,159.29
2018,146.61
2019,235.85
2020,611.69
2021,282.55
2022,298.8
2023,514.1
