date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen concentration [mg/L]
14.10.1942 12:00,1.4
09.09.1947 12:00,0.3
24.06.1948 12:00,1.0
17.03.1949 12:00,12.7
30.03.1949 12:00,12.2
20.04.1949 12:00,11.0
31.05.1949 12:00,5.4
08.07.1949 12:00,1.6
20.07.1949 12:00,0.9
26.08.1949 12:00,0.3
22.09.1949 12:00,0.3
04.11.1949 12:00,0.4
08.12.1949 12:00,3.0
10.01.1950 12:00,8.0
16.02.1950 12:00,10.6
16.03.1950 12:00,11.4
14.04.1950 12:00,11.5
10.05.1950 12:00,8.7
12.06.1950 12:00,4.1
12.07.1950 12:00,1.9
09.08.1950 12:00,0.3
06.09.1950 12:00,0.5
05.10.1950 12:00,0.5
06.11.1950 12:00,0.5
04.12.1950 12:00,6.4
08.02.1951 12:00,8.0
08.03.1951 12:00,9.7
03.04.1951 12:00,11.5
07.05.1951 12:00,9.2
07.06.1951 12:00,5.2
03.07.1951 12:00,3.0
04.09.1951 12:00,0.3
02.10.1951 12:00,0.3
11.09.1952 12:00,0.3
27.01.1953 12:00,7.7
03.03.1953 12:00,6.0
27.03.1953 12:00,5.5
17.04.1953 12:00,5.7
26.05.1953 12:00,1.4
23.06.1953 12:00,0.2
27.07.1953 12:00,0.3
25.08.1953 12:00,0.3
21.09.1953 12:00,0.8
20.10.1953 12:00,0.2
18.11.1953 12:00,0.2
14.12.1953 12:00,1.0
08.02.1954 12:00,7.9
10.03.1954 12:00,7.6
21.04.1954 12:00,9.2
18.05.1954 12:00,6.0
15.06.1954 12:00,3.0
20.07.1954 12:00,0.8
26.08.1954 12:00,0.2
14.09.1954 12:00,0.5
20.10.1954 12:00,0.3
23.11.1954 12:00,0.2
21.12.1954 12:00,3.6
26.01.1955 12:00,9.7
18.07.1955 12:00,1.4
19.09.1955 12:00,0.1
17.02.1956 12:00,7.1
26.03.1956 12:00,9.3
24.04.1956 12:00,9.3
16.05.1956 12:00,6.1
12.06.1956 12:00,3.0
03.07.1956 12:00,0.8
06.08.1956 12:00,0.2
11.09.1956 12:00,0.2
11.10.1956 12:00,0.0
07.11.1956 12:00,0.0
05.12.1956 12:00,5.1
15.01.1957 12:00,5.7
19.02.1957 12:00,7.2
18.03.1957 12:00,7.7
10.04.1957 12:00,6.9
