date (yyyy-mm-dd HH:MM:SS),surface oxygen concentration [mg/L]
06.05.1942 12:00,14.1
14.10.1942 12:00,9.6
09.09.1947 12:00,10.6
24.06.1948 12:00,12.3
17.03.1949 12:00,12.9
30.03.1949 12:00,14.4
20.04.1949 12:00,21.6
31.05.1949 12:00,14.0
08.07.1949 12:00,10.8
20.07.1949 12:00,9.9
26.08.1949 12:00,9.9
22.09.1949 12:00,9.8
04.11.1949 12:00,8.1
08.12.1949 12:00,6.9
10.01.1950 12:00,7.9
16.02.1950 12:00,10.4
16.03.1950 12:00,12.0
14.04.1950 12:00,13.9
10.05.1950 12:00,11.0
12.06.1950 12:00,15.0
12.07.1950 12:00,13.1
09.08.1950 12:00,12.9
06.09.1950 12:00,8.9
05.10.1950 12:00,11.6
06.11.1950 12:00,6.7
04.12.1950 12:00,7.0
08.02.1951 12:00,9.3
08.03.1951 12:00,11.7
03.04.1951 12:00,12.3
07.05.1951 12:00,16.9
07.06.1951 12:00,12.4
03.07.1951 12:00,10.5
04.09.1951 12:00,11.8
02.10.1951 12:00,9.9
11.09.1952 12:00,7.6
27.01.1953 12:00,11.2
03.03.1953 12:00,8.8
27.03.1953 12:00,14.3
17.04.1953 12:00,14.8
26.05.1953 12:00,10.8
23.06.1953 12:00,15.1
27.07.1953 12:00,12.1
25.08.1953 12:00,9.5
21.09.1953 12:00,9.3
20.10.1953 12:00,9.5
18.11.1953 12:00,7.7
14.12.1953 12:00,6.2
08.02.1954 12:00,10.7
10.03.1954 12:00,9.4
21.04.1954 12:00,14.2
18.05.1954 12:00,13.2
15.06.1954 12:00,9.4
20.07.1954 12:00,11.5
26.08.1954 12:00,10.4
14.09.1954 12:00,11.9
20.10.1954 12:00,12.0
23.11.1954 12:00,7.9
21.12.1954 12:00,4.7
26.01.1955 12:00,10.0
18.07.1955 12:00,19.6
19.09.1955 12:00,10.8
17.02.1956 12:00,12.5
26.03.1956 12:00,9.9
24.04.1956 12:00,16.5
16.05.1956 12:00,10.2
12.06.1956 12:00,13.1
03.07.1956 12:00,11.8
06.08.1956 12:00,17.0
11.09.1956 12:00,14.8
11.10.1956 12:00,7.5
07.11.1956 12:00,6.8
05.12.1956 12:00,4.7
15.01.1957 12:00,6.3
19.02.1957 12:00,7.2
18.03.1957 12:00,12.8
10.04.1957 12:00,12.5
06.05.1957 12:00,8.8
04.06.1957 12:00,16.1
02.07.1957 12:00,21.4
15.08.1957 12:00,10.6
20.09.1957 12:00,18.0
30.10.1957 12:00,10.1
21.11.1957 12:00,7.1
17.12.1957 12:00,4.3
22.01.1958 12:00,8.4
19.02.1958 12:00,9.2
18.03.1958 12:00,10.7
17.04.1958 12:00,12.6
20.05.1958 12:00,10.9
17.06.1958 12:00,12.8
16.07.1958 12:00,18.1
15.08.1958 12:00,14.2
23.09.1958 12:00,7.7
28.10.1958 12:00,8.4
15.12.1958 12:00,4.8
13.01.1959 12:00,8.4
24.03.1959 12:00,20.9
28.04.1959 12:00,9.8
21.05.1959 12:00,18.3
16.06.1959 12:00,11.7
14.07.1959 12:00,14.8
12.08.1959 12:00,15.4
10.09.1959 12:00,19.5
20.10.1959 12:00,7.3
18.11.1959 12:00,6.0
15.12.1959 12:00,4.7
19.01.1960 12:00,6.7
10.02.1960 12:00,7.8
08.03.1960 12:00,8.0
07.04.1960 12:00,15.6
05.05.1960 12:00,10.6
01.06.1960 12:00,10.2
04.07.1960 12:00,12.5
03.08.1960 12:00,18.0
14.09.1960 12:00,27.4
18.10.1960 12:00,8.6
22.11.1960 12:00,6.6
20.12.1960 12:00,4.4
24.01.1961 12:00,6.0
24.02.1961 12:00,7.8
24.03.1961 12:00,11.8
26.04.1961 12:00,11.9
14.06.1961 12:00,10.5
11.07.1961 12:00,18.5
15.08.1961 12:00,12.7
21.09.1961 12:00,27.1
24.10.1961 12:00,7.1
29.11.1961 12:00,4.4
27.12.1961 12:00,2.5
17.01.1962 12:00,5.6
16.02.1962 12:00,9.4
07.03.1962 12:00,11.1
17.04.1962 12:00,15.0
24.05.1962 12:00,15.3
20.06.1962 12:00,24.0
25.07.1962 12:00,19.3
29.08.1962 12:00,24.7
25.09.1962 12:00,16.5
24.10.1962 12:00,11.6
26.11.1962 12:00,6.2
14.12.1962 12:00,4.4
23.01.1963 12:00,7.9
12.02.1963 12:00,8.0
09.04.1963 12:00,6.7
07.05.1963 12:00,45.4
11.06.1963 12:00,9.6
05.07.1963 12:00,21.0
07.08.1963 12:00,16.4
03.09.1963 12:00,20.8
16.10.1963 12:00,8.6
14.11.1963 12:00,7.3
05.12.1963 12:00,4.7
15.01.1964 12:00,4.0
07.02.1964 12:00,8.8
25.03.1964 12:00,5.3
24.04.1964 12:00,13.7
21.05.1964 12:00,12.9
19.06.1964 12:00,20.4
16.07.1964 12:00,20.9
27.08.1964 12:00,19.3
16.09.1964 12:00,20.3
28.10.1964 12:00,6.6
24.11.1964 12:00,5.2
28.12.1964 12:00,2.7
20.01.1965 12:00,2.7
17.02.1965 12:00,5.5
25.03.1965 12:00,5.3
22.04.1965 12:00,11.6
21.05.1965 12:00,12.9
30.06.1965 12:00,30.7
29.07.1965 12:00,14.8
30.08.1965 12:00,12.4
23.09.1965 12:00,17.4
15.10.1965 12:00,9.8
30.11.1965 12:00,3.8
22.12.1965 12:00,5.0
15.02.1966 12:00,7.6
23.03.1966 12:00,10.3
13.04.1966 12:00,16.7
11.05.1966 12:00,14.2
30.06.1966 12:00,18.5
27.07.1966 12:00,19.6
29.08.1966 12:00,16.4
21.09.1966 12:00,19.4
12.10.1966 12:00,13.8
08.11.1966 12:00,5.2
07.12.1966 12:00,3.4
26.01.1967 12:00,7.1
28.02.1967 12:00,7.0
21.03.1967 12:00,10.0
11.04.1967 12:00,10.4
12.05.1967 12:00,11.4
22.06.1967 12:00,12.3
25.07.1967 12:00,15.4
22.08.1967 12:00,17.9
20.09.1967 12:00,12.7
25.10.1967 12:00,7.0
29.11.1967 12:00,4.5
27.12.1967 12:00,3.7
30.01.1968 12:00,9.4
13.03.1968 12:00,10.1
16.04.1968 12:00,37.3
14.05.1968 12:00,19.7
19.06.1968 12:00,14.2
09.07.1968 12:00,18.3
13.08.1968 12:00,16.5
11.09.1968 12:00,13.7
08.10.1968 12:00,11.2
06.11.1968 12:00,7.4
18.12.1968 12:00,1.3
20.01.1969 12:00,4.3
28.02.1969 12:00,8.1
25.03.1969 12:00,9.8
22.04.1969 12:00,10.8
27.05.1969 12:00,12.6
25.06.1969 12:00,18.8
15.07.1969 12:00,21.4
19.08.1969 12:00,12.8
09.09.1969 12:00,23.6
21.10.1969 12:00,9.5
17.12.1969 12:00,2.4
11.03.1970 12:00,9.9
24.04.1970 12:00,15.6
21.05.1970 12:00,10.4
10.06.1970 12:00,17.3
07.07.1970 12:00,13.2
05.08.1970 12:00,25.0
09.09.1970 12:00,24.1
13.10.1970 12:00,18.1
10.11.1970 12:00,7.3
29.12.1970 12:00,3.0
14.04.1971 12:00,16.0
12.05.1971 12:00,27.5
09.06.1971 12:00,14.0
06.07.1971 12:00,25.7
10.08.1971 12:00,16.9
15.09.1971 12:00,14.3
19.10.1971 12:00,12.0
30.11.1971 12:00,2.9
29.12.1971 12:00,3.2
18.01.1972 12:00,4.3
22.02.1972 12:00,7.1
16.03.1972 12:00,12.9
10.04.1972 12:00,12.5
16.05.1972 12:00,11.4
13.06.1972 12:00,11.4
11.07.1972 12:00,17.4
15.08.1972 12:00,16.1
26.09.1972 12:00,12.3
17.10.1972 12:00,10.3
27.11.1972 12:00,0.7
20.12.1972 12:00,0.1
24.01.1973 12:00,3.4
21.03.1973 12:00,6.9
24.04.1973 12:00,9.4
22.05.1973 12:00,20.6
26.06.1973 12:00,20.1
24.07.1973 12:00,15.1
22.08.1973 12:00,18.0
26.09.1973 12:00,11.4
23.10.1973 12:00,8.1
20.11.1973 12:00,5.3
11.12.1973 12:00,3.2
09.01.1974 12:00,5.7
11.02.1974 12:00,5.3
05.03.1974 12:00,4.2
02.04.1974 12:00,27.1
14.05.1974 12:00,14.2
05.06.1974 12:00,9.4
09.07.1974 12:00,22.8
06.08.1974 12:00,16.2
03.09.1974 12:00,12.0
08.10.1974 12:00,6.9
06.11.1974 12:00,5.0
03.12.1974 12:00,3.4
14.01.1975 12:00,6.4
06.02.1975 12:00,5.1
12.03.1975 12:00,10.3
08.04.1975 12:00,11.1
12.05.1975 12:00,12.4
10.06.1975 12:00,23.4
02.07.1975 12:00,11.6
06.08.1975 12:00,19.5
03.09.1975 12:00,18.1
20.10.1975 12:00,7.4
11.11.1975 12:00,7.2
10.12.1975 12:00,4.1
05.01.1976 12:00,3.4
01.03.1976 12:00,6.8
29.03.1976 12:00,14.3
26.04.1976 12:00,14.2
24.05.1976 12:00,10.5
21.06.1976 12:00,15.0
13.09.1976 12:00,12.2
11.10.1976 12:00,14.4
08.11.1976 12:00,6.4
06.12.1976 12:00,5.0
03.01.1977 12:00,5.1
31.01.1977 12:00,7.0
28.02.1977 12:00,7.8
28.03.1977 12:00,16.2
25.04.1977 12:00,13.1
23.05.1977 12:00,18.3
20.06.1977 12:00,13.2
18.07.1977 12:00,12.6
15.08.1977 12:00,15.6
12.09.1977 12:00,15.9
10.10.1977 12:00,9.4
07.11.1977 12:00,8.2
05.12.1977 12:00,2.2
03.01.1978 12:00,4.0
30.01.1978 12:00,5.2
13.03.1978 12:00,9.8
28.03.1978 12:00,11.8
10.04.1978 12:00,15.0
08.05.1978 12:00,15.4
05.06.1978 12:00,16.0
03.07.1978 12:00,16.5
02.08.1978 12:00,19.0
28.08.1978 12:00,13.5
25.09.1978 12:00,13.2
23.10.1978 12:00,7.9
20.11.1978 12:00,6.0
18.12.1978 12:00,4.2
13.03.1979 12:00,7.1
10.04.1979 12:00,11.6
07.05.1979 12:00,10.0
05.06.1979 12:00,16.2
02.07.1979 12:00,14.8
30.07.1979 12:00,19.6
27.08.1979 12:00,9.3
24.09.1979 12:00,8.6
22.10.1979 12:00,9.4
19.11.1979 12:00,8.4
17.12.1979 12:00,4.0
04.02.1980 12:00,6.4
10.03.1980 12:00,9.3
08.04.1980 12:00,10.6
05.05.1980 12:00,16.4
27.05.1980 12:00,21.6
30.06.1980 12:00,12.1
28.07.1980 12:00,20.3
25.08.1980 12:00,12.8
22.09.1980 12:00,16.4
20.10.1980 12:00,7.8
10.11.1980 12:00,6.4
15.12.1980 12:00,4.2
12.01.1981 12:00,7.2
06.04.1981 12:00,14.8
05.05.1981 12:00,12.6
02.06.1981 12:00,17.4
29.06.1981 12:00,13.2
04.08.1981 12:00,18.3
21.09.1981 12:00,12.0
20.10.1981 12:00,8.3
16.11.1981 12:00,7.0
14.12.1981 12:00,5.6
15.03.1982 12:00,10.6
13.04.1982 12:00,12.0
07.06.1982 12:00,11.3
05.07.1982 12:00,17.2
10.08.1982 12:00,15.8
30.08.1982 12:00,10.6
04.10.1982 12:00,8.8
25.10.1982 12:00,8.4
22.11.1982 12:00,5.2
13.12.1982 12:00,4.2
17.01.1983 12:00,6.6
18.04.1983 12:00,13.2
24.05.1983 12:00,10.6
20.06.1983 12:00,10.6
11.07.1983 12:00,13.2
29.08.1983 12:00,13.6
26.09.1983 12:00,9.4
24.10.1983 12:00,7.9
21.11.1983 12:00,6.0
12.12.1983 12:00,4.0
10.01.1984 12:00,4.7
06.02.1984 12:00,7.6
05.03.1984 12:00,10.6
02.04.1984 12:00,13.6
30.04.1984 12:00,16.4
12.06.1984 12:00,15.0
02.07.1984 12:00,11.3
13.08.1984 12:00,10.9
10.09.1984 12:00,8.5
01.10.1984 12:00,11.1
05.11.1984 12:00,6.8
03.12.1984 12:00,5.4
11.03.1985 12:00,8.5
09.04.1985 12:00,11.6
06.05.1985 12:00,13.1
03.06.1985 12:00,11.6
01.07.1985 12:00,17.1
26.08.1985 12:00,10.7
23.09.1985 12:00,12.4
22.10.1985 12:00,8.2
18.11.1985 12:00,7.2
09.12.1985 12:00,4.2
13.01.1986 12:00,6.0
07.04.1986 12:00,10.5
05.05.1986 12:00,21.3
02.06.1986 12:00,9.7
30.06.1986 12:00,16.4
28.07.1986 12:00,18.4
25.08.1986 12:00,9.7
22.09.1986 12:00,9.0
20.10.1986 12:00,9.6
17.11.1986 12:00,9.4
15.12.1986 12:00,5.6
09.03.1987 12:00,9.1
13.04.1987 12:00,14.0
24.04.1987 12:00,18.8
04.05.1987 12:00,13.9
11.05.1987 12:00,12.6
25.05.1987 12:00,11.4
09.06.1987 12:00,10.9
06.07.1987 12:00,15.2
10.08.1987 12:00,14.0
07.09.1987 12:00,10.7
05.10.1987 12:00,8.5
02.11.1987 12:00,8.4
07.12.1987 12:00,6.6
04.01.1988 12:00,5.0
01.02.1988 12:00,5.4
29.02.1988 12:00,8.9
28.03.1988 12:00,11.0
27.04.1988 12:00,17.6
09.05.1988 12:00,11.0
25.05.1988 12:00,11.6
06.06.1988 12:00,12.0
20.06.1988 12:00,16.0
11.07.1988 12:00,14.7
15.08.1988 12:00,13.4
12.09.1988 12:00,15.5
03.10.1988 12:00,9.7
07.11.1988 12:00,7.6
05.12.1988 12:00,6.7
03.01.1989 12:00,6.0
30.01.1989 12:00,6.3
27.02.1989 12:00,8.2
28.03.1989 12:00,13.0
21.04.1989 12:00,11.0
22.05.1989 12:00,12.8
21.06.1989 12:00,12.7
17.07.1989 12:00,14.4
14.08.1989 12:00,10.4
12.09.1989 12:00,10.6
16.10.1989 12:00,9.8
06.11.1989 12:00,10.2
04.12.1989 12:00,4.5
08.01.1990 12:00,5.5
05.02.1990 12:00,7.2
05.03.1990 12:00,10.9
02.04.1990 12:00,16.8
30.04.1990 12:00,10.8
25.06.1990 12:00,14.8
18.07.1990 12:00,12.6
20.08.1990 12:00,9.6
18.09.1990 12:00,10.6
15.10.1990 12:00,9.4
12.11.1990 12:00,7.8
10.12.1990 12:00,4.8
07.01.1991 12:00,6.7
28.01.1991 12:00,6.8
04.03.1991 12:00,9.0
25.03.1991 12:00,13.0
29.04.1991 12:00,12.5
27.05.1991 12:00,14.6
24.06.1991 12:00,10.7
22.07.1991 12:00,11.8
19.08.1991 12:00,12.4
16.09.1991 12:00,9.0
14.10.1991 12:00,9.9
11.11.1991 12:00,9.0
09.12.1991 12:00,7.4
06.01.1992 12:00,7.8
24.02.1992 12:00,11.1
30.03.1992 12:00,13.2
24.04.1992 12:00,11.0
15.05.1992 12:00,11.2
25.05.1992 12:00,12.1
22.06.1992 12:00,11.7
20.07.1992 12:00,15.0
17.08.1992 12:00,12.2
14.09.1992 12:00,10.0
12.10.1992 12:00,7.7
09.11.1992 12:00,8.1
07.12.1992 12:00,7.0
01.02.1993 12:00,8.4
01.03.1993 12:00,11.2
29.03.1993 12:00,15.0
28.04.1993 12:00,18.0
24.05.1993 12:00,11.2
21.06.1993 12:00,12.6
19.07.1993 12:00,13.4
16.08.1993 12:00,11.8
13.09.1993 12:00,12.5
04.10.1993 12:00,8.7
15.11.1993 12:00,7.6
06.12.1993 12:00,5.0
03.01.1994 12:00,9.0
31.01.1994 12:00,9.2
28.02.1994 12:00,10.1
28.03.1994 12:00,13.2
25.04.1994 12:00,14.8
25.05.1994 12:00,10.0
20.06.1994 12:00,10.8
11.07.1994 12:00,12.8
15.08.1994 12:00,9.7
19.09.1994 12:00,8.4
10.10.1994 12:00,8.8
09.11.1994 12:00,9.5
05.12.1994 12:00,7.6
06.02.1995 12:00,8.6
06.03.1995 12:00,10.0
03.04.1995 12:00,13.3
02.05.1995 12:00,11.6
30.05.1995 12:00,13.0
26.06.1995 12:00,13.9
26.07.1995 12:00,13.8
21.08.1995 12:00,9.9
18.09.1995 12:00,10.0
16.10.1995 12:00,12.3
13.11.1995 12:00,7.5
13.12.1995 12:00,4.6
10.01.1996 12:00,6.0
05.02.1996 12:00,7.8
04.03.1996 12:00,11.9
01.04.1996 12:00,13.2
29.04.1996 12:00,18.2
29.05.1996 12:00,10.2
24.06.1996 12:00,11.2
22.07.1996 12:00,13.9
19.08.1996 12:00,10.6
23.09.1996 12:00,9.9
21.10.1996 12:00,10.3
11.11.1996 12:00,10.0
09.12.1996 12:00,7.2
03.03.1997 12:00,9.8
01.04.1997 12:00,13.8
28.04.1997 12:00,11.0
26.05.1997 12:00,11.1
23.06.1997 12:00,10.9
14.07.1997 12:00,14.2
11.08.1997 12:00,12.8
04.09.1997 12:00,10.4
13.10.1997 12:00,8.7
31.10.1997 12:00,8.4
08.12.1997 12:00,5.8
05.01.1998 12:00,7.0
02.02.1998 12:00,8.6
02.03.1998 12:00,11.1
06.04.1998 12:00,14.7
28.04.1998 12:00,15.2
25.05.1998 12:00,11.4
22.06.1998 12:00,13.0
21.07.1998 12:00,12.8
18.08.1998 12:00,11.4
14.09.1998 12:00,9.4
12.10.1998 12:00,9.4
09.11.1998 12:00,7.8
07.12.1998 12:00,6.1
04.01.1999 12:00,7.4
03.02.1999 12:00,9.1
01.03.1999 12:00,10.4
29.03.1999 12:00,12.6
26.04.1999 12:00,12.4
25.05.1999 12:00,9.6
21.06.1999 12:00,13.2
19.07.1999 12:00,16.2
16.08.1999 12:00,10.1
06.09.1999 12:00,11.1
08.11.1999 12:00,8.6
06.12.1999 12:00,5.9
22.02.2000 12:00,11.4
20.03.2000 12:00,13.2
06.04.2000 12:00,15.4
15.05.2000 12:00,12.6
13.06.2000 12:00,11.9
10.07.2000 12:00,10.9
07.08.2000 12:00,9.9
06.09.2000 12:00,9.6
06.11.2000 12:00,8.4
13.12.2000 12:00,7.6
23.01.2001 12:00,5.3
19.02.2001 12:00,8.9
26.03.2001 12:00,10.6
24.04.2001 12:00,11.9
30.05.2001 12:00,10.9
25.06.2001 12:00,14.2
23.07.2001 12:00,14.0
27.08.2001 12:00,10.2
24.09.2001 12:00,9.6
22.10.2001 12:00,10.2
19.11.2001 12:00,6.6
17.12.2001 12:00,5.6
28.01.2002 12:00,8.6
28.02.2002 12:00,9.9
25.03.2002 12:00,12.9
29.04.2002 12:00,10.9
27.05.2002 12:00,11.3
25.06.2002 12:00,11.9
22.07.2002 12:00,11.6
26.08.2002 12:00,15.0
23.09.2002 12:00,9.0
21.10.2002 12:00,9.0
18.11.2002 12:00,8.0
16.12.2002 12:00,5.7
20.01.2003 12:00,7.2
10.03.2003 12:00,12.1
14.04.2003 12:00,15.0
19.05.2003 12:00,10.1
16.06.2003 12:00,10.4
30.06.2003 12:00,13.1
11.07.2003 12:00,12.7
21.07.2003 12:00,12.0
13.08.2003 12:00,13.2
16.09.2003 12:00,10.1
20.10.2003 12:00,9.2
17.11.2003 12:00,9.1
11.12.2003 12:00,7.6
26.01.2004 12:00,8.4
16.02.2004 12:00,10.1
08.03.2004 12:00,11.9
14.04.2004 12:00,13.2
18.05.2004 12:00,10.8
21.06.2004 12:00,11.6
19.07.2004 12:00,12.6
16.08.2004 12:00,10.8
20.09.2004 12:00,9.8
18.10.2004 12:00,8.8
15.11.2004 12:00,8.0
13.12.2004 12:00,6.8
31.01.2005 12:00,9.3
21.02.2005 12:00,10.7
15.03.2005 12:00,12.3
19.04.2005 12:00,14.0
23.05.2005 12:00,10.5
20.06.2005 12:00,9.8
18.07.2005 12:00,12.4
22.08.2005 12:00,9.7
19.09.2005 12:00,7.7
17.10.2005 12:00,9.9
14.11.2005 12:00,8.0
12.12.2005 12:00,5.6
27.02.2006 12:00,9.4
20.03.2006 12:00,10.8
18.04.2006 12:00,14.4
15.05.2006 12:00,9.7
12.06.2006 12:00,11.6
10.07.2006 12:00,12.7
14.08.2006 12:00,9.6
12.09.2006 12:00,13.8
16.10.2006 12:00,9.1
06.11.2006 12:00,8.0
04.12.2006 12:00,7.8
22.01.2007 12:00,7.5
12.02.2007 12:00,8.6
12.03.2007 12:00,12.6
10.04.2007 12:00,13.9
14.05.2007 12:00,10.0
11.06.2007 12:00,10.6
09.07.2007 12:00,10.8
06.08.2007 12:00,12.8
11.09.2007 12:00,10.4
08.10.2007 12:00,10.8
05.11.2007 12:00,7.1
05.12.2007 12:00,6.0
14.01.2008 12:00,7.8
11.02.2008 12:00,9.4
10.03.2008 12:00,11.8
15.04.2008 12:00,13.2
13.05.2008 12:00,13.8
09.06.2008 12:00,11.5
14.07.2008 12:00,10.0
11.08.2008 12:00,11.5
15.09.2008 12:00,7.0
13.10.2008 12:00,11.2
10.11.2008 12:00,7.0
08.12.2008 12:00,5.7
09.02.2009 12:00,8.0
02.03.2009 12:00,9.6
06.04.2009 12:00,14.2
11.05.2009 12:00,13.9
15.06.2009 12:00,12.4
13.07.2009 12:00,13.5
10.08.2009 12:00,12.6
07.09.2009 12:00,8.1
19.10.2009 12:00,7.2
09.11.2009 12:00,7.9
07.12.2009 12:00,7.6
11.01.2010 12:00,6.4
08.02.2010 12:00,8.6
10.03.2010 12:00,10.5
12.04.2010 12:00,13.7
10.05.2010 12:00,9.9
14.06.2010 12:00,10.2
12.07.2010 12:00,13.0
09.08.2010 12:00,14.1
15.09.2010 12:00,9.4
18.10.2010 12:00,7.0
08.11.2010 12:00,7.7
07.12.2010 12:00,5.7
10.01.2011 12:00,7.2
14.02.2011 12:00,9.5
07.03.2011 12:00,10.2
05.04.2011 12:00,14.8
06.06.2011 12:00,9.4
11.07.2011 12:00,11.4
15.08.2011 12:00,11.6
14.09.2011 12:00,11.8
10.10.2011 12:00,7.4
07.11.2011 12:00,8.9
12.12.2011 12:00,7.2
09.01.2012 12:00,8.2
05.03.2012 12:00,12.2
02.04.2012 12:00,15.8
07.05.2012 12:00,11.2
04.06.2012 12:00,9.9
02.07.2012 12:00,11.8
06.08.2012 12:00,10.6
03.09.2012 12:00,8.0
01.10.2012 12:00,8.8
05.11.2012 12:00,7.9
10.12.2012 12:00,8.2
08.01.2013 12:00,9.0
04.02.2013 12:00,13.4
04.03.2013 12:00,13.8
08.04.2013 12:00,13.6
13.05.2013 12:00,11.0
03.06.2013 12:00,10.2
01.07.2013 12:00,9.4
05.08.2013 12:00,11.9
02.09.2013 12:00,11.3
07.10.2013 12:00,9.6
04.11.2013 12:00,8.4
02.12.2013 12:00,7.2
07.01.2014 12:00,6.6
03.02.2014 12:00,8.1
03.03.2014 12:00,12.8
07.04.2014 12:00,13.2
05.05.2014 12:00,10.5
02.06.2014 12:00,10.9
07.07.2014 12:00,11.6
04.08.2014 12:00,13.7
01.09.2014 12:00,11.6
06.10.2014 12:00,11.7
03.11.2014 12:00,7.9
01.12.2014 12:00,8.6
06.01.2015 12:00,6.2
02.02.2015 12:00,8.6
02.03.2015 12:00,9.9
13.04.2015 12:00,14.5
04.05.2015 12:00,10.8
01.06.2015 12:00,12.0
06.07.2015 12:00,13.8
03.08.2015 12:00,12.2
07.09.2015 12:00,10.4
05.10.2015 12:00,9.2
02.11.2015 12:00,9.2
02.12.2015 12:00,7.8
05.01.2016 12:00,7.4
01.02.2016 12:00,7.7
07.03.2016 12:00,10.9
04.04.2016 12:00,18.2
02.05.2016 12:00,11.8
06.06.2016 12:00,10.6
04.07.2016 12:00,14.0
08.08.2016 12:00,12.2
05.09.2016 12:00,12.0
03.10.2016 12:00,8.8
07.11.2016 12:00,8.3
05.12.2016 12:00,6.8
04.01.2017 12:00,5.3
06.02.2017 12:00,10.7
06.03.2017 12:00,10.4
03.04.2017 12:00,16.6
02.05.2017 12:00,10.1
01.06.2017 12:00,10.2
03.07.2017 12:00,11.5
07.08.2017 12:00,11.3
04.09.2017 12:00,10.0
09.10.2017 12:00,9.1
06.11.2017 12:00,8.7
04.12.2017 12:00,6.6
08.01.2018 12:00,7.8
05.02.2018 12:00,9.4
05.03.2018 12:00,10.9
09.04.2018 12:00,16.8
02.05.2018 12:00,11.7
04.06.2018 12:00,11.5
02.07.2018 12:00,11.8
06.08.2018 12:00,14.1
03.09.2018 12:00,12.6
01.10.2018 12:00,10.6
05.11.2018 12:00,8.6
03.12.2018 12:00,7.4
07.01.2019 12:00,7.5
04.02.2019 12:00,9.3
04.03.2019 12:00,13.5
01.04.2019 12:00,14.5
06.05.2019 12:00,11.3
03.06.2019 12:00,11.9
01.07.2019 12:00,12.5
05.08.2019 12:00,11.4
02.09.2019 12:00,12.7
07.10.2019 12:00,8.6
04.11.2019 12:00,8.4
02.12.2019 12:00,7.1
07.01.2020 12:00,6.2
03.02.2020 12:00,8.0
02.03.2020 12:00,12.3
06.04.2020 12:00,15.4
04.05.2020 12:00,11.7
08.06.2020 12:00,10.5
06.07.2020 12:00,13.0
03.08.2020 12:00,12.6
07.09.2020 12:00,11.5
05.10.2020 12:00,8.0
02.11.2020 12:00,9.0
07.12.2020 12:00,6.8
11.01.2021 12:00,6.4
01.02.2021 12:00,9.8
01.03.2021 12:00,11.9
07.04.2021 12:00,12.3
03.05.2021 12:00,10.4
02.06.2021 12:00,11.2
05.07.2021 12:00,10.8
02.08.2021 12:00,12.1
06.09.2021 12:00,13.6
04.10.2021 12:00,10.2
01.11.2021 12:00,9.3
06.12.2021 12:00,5.8
10.01.2022 12:00,7.0
14.02.2022 12:00,9.5
07.03.2022 12:00,11.9
04.04.2022 12:00,13.7
02.05.2022 12:00,11.4
01.06.2022 12:00,12.1
04.07.2022 12:00,12.7
03.08.2022 12:00,10.6
05.09.2022 12:00,13.0
03.10.2022 12:00,9.7
07.11.2022 12:00,8.4
05.12.2022 12:00,8.5
09.01.2023 12:00,8.2
06.02.2023 12:00,8.0
06.03.2023 12:00,10.0
03.04.2023 12:00,10.9
08.05.2023 12:00,12.3
05.06.2023 12:00,12.0
03.07.2023 12:00,12.0
07.08.2023 12:00,9.1
04.09.2023 12:00,12.2
02.10.2023 12:00,12.4
06.11.2023 12:00,8.4
04.12.2023 12:00,7.7
