date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen content [t]
16.09.1921 12:00,253.5
11.05.1934 12:00,299.9
02.08.1934 12:00,42.1
20.10.1937 12:00,271.9
25.03.1938 12:00,539.7
27.05.1938 12:00,548.8
16.08.1938 12:00,154.9
20.09.1938 12:00,113.6
20.10.1938 12:00,86.6
16.11.1938 12:00,377.0
11.12.1938 12:00,280.6
27.01.1939 12:00,414.9
09.03.1939 12:00,525.6
29.10.1940 12:00,130.9
06.11.1941 12:00,145.9
29.09.1942 12:00,0.0
14.10.1943 12:00,0.0
01.10.1945 12:00,71.8
17.10.1946 12:00,67.5
04.09.1947 12:00,26.8
06.07.1949 12:00,271.9
19.10.1949 12:00,0.0
12.10.1950 12:00,29.9
11.08.1959 12:00,29.0
15.09.1959 12:00,24.7
15.10.1959 12:00,12.6
17.11.1959 12:00,24.7
22.12.1959 12:00,152.3
23.02.1960 12:00,187.2
29.09.1965 12:00,54.2
15.02.1966 12:00,155.8
19.04.1966 12:00,394.0
30.09.1969 12:00,0.0
31.03.1970 12:00,416.9
29.09.1970 12:00,18.7
13.04.1971 12:00,61.3
14.09.1971 12:00,9.6
23.03.1972 12:00,99.5
12.10.1972 12:00,3.8
04.04.1973 12:00,0.0
30.10.1973 12:00,0.0
11.03.1974 12:00,210.6
04.04.1974 12:00,224.1
08.04.1974 12:00,139.2
06.05.1974 12:00,72.6
04.06.1974 12:00,3.1
01.07.1974 12:00,2.4
29.07.1974 12:00,0.0
26.08.1974 12:00,0.0
23.09.1974 12:00,0.0
22.10.1974 12:00,0.0
04.11.1974 12:00,3.9
02.12.1974 12:00,63.7
08.01.1975 12:00,303.6
06.02.1975 12:00,261.7
15.04.1975 12:00,119.1
07.10.1975 12:00,0.0
13.04.1976 12:00,169.7
19.07.1976 12:00,46.2
16.08.1976 12:00,15.5
13.09.1976 12:00,12.3
11.10.1976 12:00,10.2
08.11.1976 12:00,6.2
06.12.1976 12:00,42.0
03.01.1977 12:00,174.3
31.01.1977 12:00,199.5
07.03.1977 12:00,221.7
02.05.1977 12:00,171.6
04.07.1977 12:00,32.1
24.10.1977 12:00,4.2
19.10.1981 12:00,7.7
07.12.1981 12:00,189.9
11.01.1982 12:00,430.5
08.02.1982 12:00,142.1
08.03.1982 12:00,418.9
05.04.1982 12:00,557.7
03.05.1982 12:00,596.9
01.06.1982 12:00,431.5
