date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
11.05.1934 12:00,4.0
02.08.1934 12:00,6.7
20.10.1937 12:00,10.5
25.03.1938 12:00,2.5
27.05.1938 12:00,3.0
16.08.1938 12:00,7.0
20.09.1938 12:00,6.6
20.10.1938 12:00,7.5
16.11.1938 12:00,24.0
27.01.1939 12:00,65.0
06.11.1941 12:00,13.4
29.09.1942 12:00,8.6
14.10.1943 12:00,10.1
01.10.1945 12:00,9.5
17.10.1946 12:00,9.0
04.09.1947 12:00,8.3
06.07.1949 12:00,7.0
19.10.1949 12:00,7.0
12.10.1950 12:00,8.6
11.08.1959 12:00,5.0
15.09.1959 12:00,5.0
15.10.1959 12:00,5.0
17.11.1959 12:00,16.5
23.02.1960 12:00,65.0
29.09.1965 12:00,5.0
19.04.1966 12:00,4.5
04.07.1966 12:00,4.5
25.08.1966 12:00,5.0
30.09.1969 12:00,5.0
29.09.1970 12:00,4.5
13.04.1971 12:00,3.5
14.09.1971 12:00,9.1
23.03.1972 12:00,3.5
12.10.1972 12:00,5.5
04.04.1973 12:00,5.0
30.10.1973 12:00,11.3
04.04.1974 12:00,3.5
08.04.1974 12:00,3.4
06.05.1974 12:00,6.7
04.06.1974 12:00,4.6
01.07.1974 12:00,7.2
29.07.1974 12:00,6.0
26.08.1974 12:00,6.6
23.09.1974 12:00,9.0
22.10.1974 12:00,12.0
04.11.1974 12:00,14.7
02.12.1974 12:00,16.7
15.04.1975 12:00,4.5
07.10.1975 12:00,5.0
13.04.1976 12:00,4.5
19.07.1976 12:00,5.2
16.08.1976 12:00,8.6
13.09.1976 12:00,8.6
11.10.1976 12:00,9.0
08.11.1976 12:00,11.7
06.12.1976 12:00,19.5
03.01.1977 12:00,65.0
31.01.1977 12:00,65.0
07.03.1977 12:00,4.0
02.05.1977 12:00,11.9
04.07.1977 12:00,4.5
24.10.1977 12:00,11.4
19.10.1981 12:00,11.7
07.12.1981 12:00,22.7
05.04.1982 12:00,4.5
03.05.1982 12:00,5.0
01.06.1982 12:00,4.5
28.06.1982 12:00,4.5
26.07.1982 12:00,4.5
23.08.1982 12:00,5.7
20.09.1982 12:00,5.0
18.10.1982 12:00,11.7
15.11.1982 12:00,12.0
13.12.1982 12:00,24.5
21.03.1983 12:00,4.5
18.04.1983 12:00,5.0
24.05.1983 12:00,5.5
20.06.1983 12:00,5.0
11.07.1983 12:00,4.5
29.08.1983 12:00,5.1
