date (yyyy-mm-dd HH:MM:SS),hypolimnetic density [kg/m3]
18.01.2000 12:00,1000.067708516195
22.02.2000 12:00,1000.0728388138522
23.03.2000 12:00,1000.0730486303942
18.04.2000 12:00,1000.0709940484779
16.05.2000 12:00,1000.0657112998127
20.06.2000 12:00,1000.065498628183
18.07.2000 12:00,1000.0615762979918
15.08.2000 12:00,1000.0597554476682
12.09.2000 12:00,1000.0604067273852
10.10.2000 12:00,1000.053058765879
07.11.2000 12:00,1000.0623823078921
05.12.2000 12:00,1000.0584753565886
23.01.2001 12:00,1000.0629794691201
27.02.2001 12:00,1000.066299141845
20.03.2001 12:00,1000.0661115829243
24.04.2001 12:00,1000.0636588597769
31.05.2001 12:00,1000.0618163287733
26.06.2001 12:00,1000.0597456241195
24.07.2001 12:00,1000.0565451885001
23.08.2001 12:00,1000.0536953374943
18.09.2001 12:00,1000.0529183276734
18.10.2001 12:00,1000.0524195848658
20.11.2001 12:00,1000.0490538127201
18.12.2001 12:00,1000.0567832027648
15.01.2002 12:00,1000.0652411059991
12.02.2002 12:00,1000.0676585346985
19.03.2002 12:00,1000.0682512301001
16.04.2002 12:00,1000.0659625113324
15.05.2002 12:00,1000.0659844416039
20.06.2002 12:00,1000.0615051206727
25.07.2002 12:00,1000.0567947049783
22.08.2002 12:00,1000.0551807055481
19.09.2002 12:00,1000.0560349315796
15.10.2002 12:00,1000.0523721072966
19.11.2002 12:00,1000.0510241823125
17.12.2002 12:00,1000.0546394290743
21.01.2003 12:00,1000.0625143749039
19.02.2003 12:00,1000.0702240779158
18.03.2003 12:00,1000.0710740825328
15.04.2003 12:00,1000.0694093279644
16.05.2003 12:00,1000.068659327208
11.06.2003 12:00,1000.0663798224493
08.07.2003 12:00,1000.064764708432
12.08.2003 12:00,1000.062471680004
09.09.2003 12:00,1000.0610921399565
14.10.2003 12:00,1000.0607161522506
11.11.2003 12:00,1000.0592842771214
11.12.2003 12:00,1000.0582617711204
13.01.2004 12:00,1000.0653344952408
17.02.2004 12:00,1000.068916998455
16.03.2004 12:00,1000.0713281953238
14.04.2004 12:00,1000.0707202475834
11.05.2004 12:00,1000.0681814114479
08.06.2004 12:00,1000.0661179156638
06.07.2004 12:00,1000.0665292349167
10.08.2004 12:00,1000.06683315963
07.09.2004 12:00,1000.0645722911855
12.10.2004 12:00,1000.060171959413
