date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
04.11.1974 14:00,34.6
06.11.1978 14:05,34.0
26.03.1979 14:10,12.5
04.12.1979 14:00,46.1
11.11.1980 14:15,37.8
10.03.1981 14:40,2.2
10.11.1981 14:40,46.8
24.11.1982 16:40,54.1
07.03.1983 14:13,1.9
22.11.1983 14:10,35.2
21.11.1984 14:05,34.5
19.03.1985 14:05,1.6
26.11.1985 15:50,37.9
05.11.1986 14:15,40.9
09.11.1987 14:15,41.2
14.11.1988 14:15,44.0
07.05.1991 09:00,17.0
26.06.1991 09:00,3.5
22.08.1991 10:46,3.7
10.11.1993 12:00,36.6
15.03.1994 12:00,4.0
11.04.1994 12:00,36.3
10.05.1994 12:00,9.0
21.06.1994 12:00,6.7
05.07.1994 12:00,3.3
02.08.1994 12:00,2.7
31.08.1994 12:00,2.7
27.09.1994 12:00,6.0
25.10.1994 12:00,41.8
22.11.1994 12:00,45.3
20.12.1994 12:00,47.9
25.04.1995 12:00,17.8
22.05.1995 12:00,13.8
20.06.1995 12:00,5.0
25.07.1995 12:00,4.6
14.08.1995 12:00,2.7
22.08.1995 12:00,4.1
19.09.1995 12:00,4.5
03.10.1995 12:00,38.2
17.10.1995 12:00,6.1
14.11.1995 12:00,37.4
19.12.1995 12:00,53.6
26.03.1996 12:00,4.0
30.04.1996 12:00,9.3
03.05.1996 12:00,7.2
23.05.1996 12:00,8.9
19.06.1996 12:00,6.5
16.07.1996 12:00,3.0
13.08.1996 12:00,4.9
12.09.1996 12:00,9.5
08.10.1996 12:00,29.9
11.11.1996 12:00,35.5
09.12.1996 12:00,44.8
16.04.1997 12:00,29.8
14.05.1997 12:00,12.8
11.06.1997 12:00,5.4
09.07.1997 12:00,6.8
06.08.1997 12:00,2.3
10.09.1997 12:00,4.4
07.10.1997 12:00,8.4
12.11.1997 12:00,41.6
10.12.1997 12:00,48.9
21.04.1998 12:00,3.1
19.05.1998 12:00,9.6
16.06.1998 12:00,7.7
14.07.1998 12:00,10.2
11.08.1998 12:00,2.8
22.09.1998 12:00,24.2
13.10.1998 12:00,25.1
10.11.1998 12:00,36.5
20.04.1999 12:00,36.8
21.05.1999 12:00,9.5
15.06.1999 12:00,3.0
22.07.1999 12:00,4.6
17.08.1999 12:00,3.3
14.09.1999 12:00,6.5
12.10.1999 12:00,10.8
09.11.1999 12:00,42.9
14.12.1999 12:00,62.9
23.03.2000 12:00,5.6
18.04.2000 12:00,20.0
16.05.2000 12:00,5.2
20.06.2000 12:00,5.1
18.07.2000 12:00,7.6
15.08.2000 12:00,3.8
12.09.2000 12:00,4.6
10.10.2000 12:00,35.8
07.11.2000 12:00,29.2
05.12.2000 12:00,41.8
24.04.2001 12:00,9.6
31.05.2001 12:00,4.5
26.06.2001 12:00,4.5
24.07.2001 12:00,6.5
23.08.2001 12:00,4.7
18.09.2001 12:00,35.9
18.10.2001 12:00,9.5
20.11.2001 12:00,42.6
18.12.2001 12:00,58.4
19.03.2002 12:00,6.8
16.04.2002 12:00,12.9
15.05.2002 12:00,6.1
20.06.2002 12:00,1.9
25.07.2002 12:00,3.4
22.08.2002 12:00,2.9
19.09.2002 12:00,7.8
15.10.2002 12:00,36.3
19.11.2002 12:00,50.6
17.12.2002 12:00,52.5
15.04.2003 12:00,5.4
16.05.2003 12:00,11.6
11.06.2003 12:00,2.7
08.07.2003 12:00,4.3
12.08.2003 12:00,2.6
09.09.2003 12:00,7.6
14.10.2003 12:00,26.9
11.11.2003 12:00,35.2
11.12.2003 12:00,50.3
14.04.2004 12:00,13.3
11.05.2004 12:00,5.8
08.06.2004 12:00,2.3
06.07.2004 12:00,8.0
10.08.2004 12:00,4.2
07.09.2004 12:00,3.2
12.10.2004 12:00,11.0
09.11.2004 12:00,34.5
07.12.2004 12:00,41.8
12.04.2005 12:00,10.5
20.05.2005 12:00,9.7
14.06.2005 12:00,5.2
12.07.2005 12:00,5.9
09.08.2005 12:00,8.2
13.09.2005 12:00,6.2
11.10.2005 12:00,14.4
08.11.2005 12:00,20.3
09.05.2006 12:00,3.0
12.06.2006 12:00,7.1
11.07.2006 12:00,3.8
15.08.2006 12:00,4.8
12.09.2006 12:00,8.0
10.10.2006 12:00,19.5
14.11.2006 12:00,28.9
12.12.2006 12:00,39.5
11.04.2007 12:00,7.1
08.05.2007 12:00,8.4
12.06.2007 12:00,3.5
10.07.2007 12:00,10.8
07.08.2007 12:00,3.6
11.09.2007 12:00,20.5
09.10.2007 12:00,7.2
06.11.2007 12:00,32.4
11.12.2007 12:00,49.4
20.05.2008 12:00,7.4
10.06.2008 12:00,5.3
08.07.2008 12:00,5.9
05.08.2008 12:00,2.9
09.09.2008 12:00,5.9
14.10.2008 12:00,10.2
11.11.2008 12:00,40.2
11.12.2008 12:00,56.4
07.04.2009 12:00,3.5
12.05.2009 12:00,6.4
16.06.2009 12:00,8.0
21.07.2009 12:00,7.1
18.08.2009 12:00,3.6
15.09.2009 12:00,9.9
13.10.2009 12:00,28.6
10.11.2009 12:00,34.2
08.12.2009 12:00,37.4
13.04.2010 12:00,8.7
18.05.2010 12:00,11.5
15.06.2010 12:00,5.7
13.07.2010 12:00,6.9
17.08.2010 12:00,3.4
14.09.2010 12:00,7.0
19.10.2010 12:00,26.4
16.11.2010 12:00,34.1
19.04.2011 12:00,8.4
17.05.2011 12:00,5.9
15.06.2011 12:00,6.4
12.07.2011 12:00,6.6
16.08.2011 12:00,3.8
13.09.2011 12:00,4.7
13.10.2011 12:00,14.8
15.11.2011 12:00,32.2
11.04.2012 12:00,22.5
08.05.2012 12:00,8.3
12.06.2012 12:00,5.4
10.07.2012 12:00,2.4
14.08.2012 12:00,4.3
11.09.2012 12:00,3.5
16.10.2012 12:00,35.6
13.11.2012 12:00,37.0
11.12.2012 12:00,46.4
16.04.2013 12:00,4.5
14.05.2013 12:00,10.6
11.06.2013 12:00,12.6
16.07.2013 12:00,4.3
20.08.2013 12:00,2.5
17.09.2013 12:00,27.0
15.10.2013 12:00,32.5
19.11.2013 12:00,34.6
10.12.2013 12:00,40.5
11.03.2014 12:00,6.9
15.04.2014 12:00,16.7
12.05.2014 12:00,8.8
17.06.2014 12:00,8.6
15.07.2014 12:00,3.9
19.08.2014 12:00,6.0
16.09.2014 12:00,4.6
14.10.2014 12:00,6.7
11.11.2014 12:00,30.4
24.11.2014 12:00,28.0
09.12.2014 12:00,29.7
19.05.2015 12:00,5.9
16.06.2015 12:00,6.4
14.07.2015 12:00,6.5
11.08.2015 12:00,3.5
08.09.2015 12:00,7.2
13.10.2015 12:00,9.8
17.11.2015 12:00,34.9
15.12.2015 12:00,41.4
12.04.2016 12:00,11.9
10.05.2016 12:00,17.2
07.06.2016 12:00,3.7
05.07.2016 12:00,4.8
09.08.2016 12:00,4.6
06.09.2016 12:00,6.8
11.10.2016 12:00,26.6
08.11.2016 12:00,34.9
13.12.2016 12:00,47.7
14.03.2017 12:00,4.0
11.04.2017 12:00,9.6
16.05.2017 12:00,11.6
13.06.2017 12:00,6.0
11.07.2017 12:00,4.5
15.08.2017 12:00,3.8
12.09.2017 12:00,32.9
10.10.2017 12:00,31.8
06.11.2017 12:00,35.9
12.12.2017 12:00,48.9
10.04.2018 12:00,24.0
15.05.2018 12:00,9.8
12.06.2018 12:00,4.0
10.07.2018 12:00,4.6
14.08.2018 12:00,4.7
11.09.2018 12:00,4.0
09.10.2018 12:00,6.9
06.11.2018 12:00,29.7
11.12.2018 12:00,56.0
09.04.2019 12:00,8.5
14.05.2019 12:00,31.8
18.06.2019 12:00,3.4
16.07.2019 12:00,5.3
13.08.2019 12:00,9.4
02.09.2019 12:00,6.8
