date (yyyy-mm-dd HH:MM:SS),bottom oxygen concentration [mg/L]
31.05.1957 12:00,11.2
19.06.1957 12:00,8.7
23.07.1957 12:00,7.6
19.09.1957 12:00,7.5
21.11.1957 12:00,5.4
19.03.1958 12:00,9.8
22.05.1958 12:00,7.8
18.06.1958 12:00,7.0
16.07.1958 12:00,6.6
18.09.1958 12:00,4.5
19.11.1958 12:00,4.1
18.03.1959 12:00,6.0
20.05.1959 12:00,6.3
16.06.1959 12:00,6.3
16.07.1959 12:00,5.5
20.08.1959 12:00,5.0
17.09.1959 12:00,4.8
19.11.1959 12:00,3.6
17.03.1960 12:00,7.3
19.05.1960 12:00,6.0
16.06.1960 12:00,6.6
21.07.1960 12:00,5.4
18.08.1960 12:00,4.4
22.09.1960 12:00,4.0
17.11.1960 12:00,4.1
16.03.1961 12:00,4.8
18.05.1961 12:00,5.8
15.06.1961 12:00,4.2
20.07.1961 12:00,4.6
18.08.1961 12:00,5.2
16.11.1961 12:00,5.3
23.03.1962 12:00,5.0
18.05.1962 12:00,6.3
14.06.1962 12:00,5.8
19.07.1962 12:00,5.7
30.08.1962 12:00,4.9
20.09.1962 12:00,4.6
15.11.1962 12:00,5.8
14.03.1963 12:00,10.9
20.05.1963 12:00,10.2
17.06.1963 12:00,10.2
17.07.1963 12:00,8.8
29.08.1963 12:00,8.7
19.09.1963 12:00,8.8
14.11.1963 12:00,7.4
19.03.1964 12:00,7.5
14.05.1964 12:00,7.6
18.06.1964 12:00,9.4
16.07.1964 12:00,7.7
20.08.1964 12:00,7.4
18.09.1964 12:00,7.2
19.11.1964 12:00,6.0
05.02.1965 12:00,8.1
19.03.1965 12:00,7.0
25.05.1965 12:00,7.9
24.06.1965 12:00,7.8
22.07.1965 12:00,7.4
19.08.1965 12:00,5.8
23.09.1965 12:00,5.0
17.02.1966 12:00,6.6
13.04.1966 12:00,7.5
12.05.1966 12:00,8.4
16.06.1966 12:00,7.2
28.07.1966 12:00,7.0
18.08.1966 12:00,5.0
15.09.1966 12:00,4.7
17.11.1966 12:00,4.4
16.02.1967 12:00,6.0
16.03.1967 12:00,5.3
17.05.1967 12:00,6.7
19.06.1967 12:00,5.9
12.07.1967 12:00,6.8
17.08.1967 12:00,5.9
14.09.1967 12:00,5.1
21.11.1967 12:00,3.7
15.02.1968 12:00,4.7
19.03.1968 12:00,5.4
16.05.1968 12:00,4.3
12.06.1968 12:00,5.0
18.07.1968 12:00,3.9
16.08.1968 12:00,3.6
18.09.1968 12:00,2.9
13.11.1968 12:00,2.7
04.02.1969 12:00,4.1
11.03.1969 12:00,4.1
13.05.1969 12:00,4.1
10.06.1969 12:00,3.3
16.07.1969 12:00,2.6
12.08.1969 12:00,2.3
16.09.1969 12:00,1.0
13.11.1969 12:00,4.1
