date (yyyy-mm-dd HH:MM:SS),hypolimnetic density [kg/m3]
18.03.1959 12:00,1000.162595948349
20.05.1959 12:00,1000.1447988728411
16.06.1959 12:00,1000.1494683181916
16.07.1959 12:00,1000.1427165140179
20.08.1959 12:00,1000.1323907636596
17.09.1959 12:00,1000.1388945411313
19.11.1959 12:00,1000.1315513560797
17.03.1960 12:00,1000.1527845649007
19.05.1960 12:00,1000.144953920349
16.06.1960 12:00,1000.1339517758214
21.07.1960 12:00,1000.1348591325741
18.08.1960 12:00,1000.1359568940127
22.09.1960 12:00,1000.1281027719112
17.11.1960 12:00,1000.0998689281668
16.03.1961 12:00,1000.1485959949998
18.05.1961 12:00,1000.1456026828811
15.06.1961 12:00,1000.1295102450543
20.07.1961 12:00,1000.1185220409054
18.08.1961 12:00,1000.1211712811493
16.11.1961 12:00,1000.0923015690163
23.03.1962 12:00,1000.1186559404488
18.05.1962 12:00,1000.1249538754441
14.06.1962 12:00,1000.1238331680446
19.07.1962 12:00,1000.1157142499985
30.08.1962 12:00,1000.1143863037834
20.09.1962 12:00,1000.0893397419295
15.11.1962 12:00,1000.122746044896
14.03.1963 12:00,1000.1364502477868
20.05.1963 12:00,1000.1425273269787
17.06.1963 12:00,1000.1427604656528
17.07.1963 12:00,1000.1403659309609
29.08.1963 12:00,1000.1360010884696
19.09.1963 12:00,1000.1356107858619
14.11.1963 12:00,1000.122052609811
19.03.1964 12:00,1000.1313681104161
14.05.1964 12:00,1000.1392343601245
18.06.1964 12:00,1000.1323861465385
16.07.1964 12:00,1000.1383291135073
20.08.1964 12:00,1000.1286386670375
18.09.1964 12:00,1000.1290699557866
19.11.1964 12:00,1000.11619660901
05.02.1965 12:00,1000.1492132898585
25.05.1965 12:00,1000.1570377489296
24.06.1965 12:00,1000.1481421541293
22.07.1965 12:00,1000.151368849591
19.08.1965 12:00,1000.1503389691969
23.09.1965 12:00,1000.1432141898712
17.02.1966 12:00,1000.1495601716704
13.04.1966 12:00,1000.1503255958007
12.05.1966 12:00,1000.150428033911
16.06.1966 12:00,1000.147051805358
28.07.1966 12:00,1000.1205866217412
18.08.1966 12:00,1000.1259543204611
15.09.1966 12:00,1000.1372573985984
17.11.1966 12:00,1000.1258260831552
