date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen content [t]
08.10.1969 12:00,161.6
01.04.1970 12:00,1256.7
07.07.1970 12:00,746.8
08.10.1970 12:00,266.2
29.03.1971 12:00,893.7
05.07.1971 12:00,202.5
21.09.1971 12:00,175.8
22.03.1972 12:00,209.9
08.08.1972 12:00,84.5
03.10.1972 12:00,10.0
26.02.1973 12:00,220.9
12.03.1973 12:00,831.9
09.04.1973 12:00,491.1
07.05.1973 12:00,458.1
04.06.1973 12:00,205.3
02.07.1973 12:00,216.4
30.07.1973 12:00,135.3
27.08.1973 12:00,122.2
01.10.1973 12:00,23.9
22.10.1973 12:00,27.0
26.11.1973 12:00,117.1
17.12.1973 12:00,722.3
14.01.1974 12:00,499.4
11.02.1974 12:00,429.4
11.03.1974 12:00,779.7
08.04.1974 12:00,572.7
16.07.1974 12:00,183.1
03.09.1974 12:00,171.8
25.03.1975 12:00,709.3
07.08.1975 12:00,193.9
15.09.1975 12:00,134.6
22.03.1976 12:00,1169.9
19.07.1976 12:00,607.4
16.08.1976 12:00,415.1
13.09.1976 12:00,421.4
11.10.1976 12:00,187.5
08.11.1976 12:00,266.6
06.12.1976 12:00,110.8
03.01.1977 12:00,280.9
31.01.1977 12:00,304.3
07.03.1977 12:00,689.0
02.05.1977 12:00,449.2
27.06.1977 12:00,359.9
21.09.1977 12:00,197.0
09.01.1978 12:00,252.9
06.02.1978 12:00,605.6
06.03.1978 12:00,905.3
22.03.1978 12:00,1105.5
03.04.1978 12:00,951.3
14.04.1978 12:00,766.7
24.04.1978 12:00,739.4
12.05.1978 12:00,605.0
26.05.1978 12:00,554.3
04.06.1978 12:00,546.4
15.06.1978 12:00,483.9
25.06.1978 12:00,384.5
05.07.1978 12:00,346.9
17.07.1978 12:00,358.9
31.07.1978 12:00,313.8
22.08.1978 12:00,155.1
04.09.1978 12:00,177.7
18.09.1978 12:00,202.5
02.10.1978 12:00,140.6
16.10.1978 12:00,91.1
30.10.1978 12:00,72.0
20.11.1978 12:00,0.0
11.12.1978 12:00,128.3
06.01.1979 12:00,580.4
15.01.1979 12:00,444.4
06.02.1979 12:00,426.2
04.03.1979 12:00,777.1
02.04.1979 12:00,815.2
07.08.1979 12:00,214.5
25.09.1979 12:00,120.0
23.07.1980 12:00,338.0
08.10.1980 12:00,249.3
23.03.1981 12:00,904.5
14.10.1981 12:00,124.8
14.04.1982 12:00,861.5
28.04.1982 12:00,758.3
12.05.1982 12:00,714.8
26.05.1982 12:00,677.7
09.06.1982 12:00,537.5
23.06.1982 12:00,457.7
07.07.1982 12:00,366.3
21.07.1982 12:00,374.1
04.08.1982 12:00,255.0
18.08.1982 12:00,178.9
01.09.1982 12:00,191.5
15.09.1982 12:00,134.3
29.09.1982 12:00,63.0
13.10.1982 12:00,90.6
27.10.1982 12:00,144.9
10.11.1982 12:00,206.0
24.11.1982 12:00,51.8
08.12.1982 12:00,222.3
22.12.1982 12:00,244.7
03.01.1983 12:00,545.0
17.01.1983 12:00,524.7
07.02.1983 12:00,656.4
21.02.1983 12:00,767.9
07.03.1983 12:00,713.4
21.03.1983 12:00,944.8
05.04.1983 12:00,1048.7
18.04.1983 12:00,1000.7
02.05.1983 12:00,780.4
24.05.1983 12:00,614.3
29.07.1983 12:00,313.1
10.10.1983 12:00,210.7
15.12.1983 12:00,395.7
23.01.1984 12:00,865.5
23.02.1984 12:00,957.1
23.03.1984 12:00,981.2
17.04.1984 12:00,1137.8
19.06.1984 12:00,636.2
26.09.1984 12:00,430.9
18.12.1984 12:00,250.9
20.03.1985 12:00,736.9
15.04.1985 12:00,897.5
29.04.1985 12:00,505.2
13.05.1985 12:00,542.1
28.05.1985 12:00,419.0
10.06.1985 12:00,452.2
24.06.1985 12:00,256.9
08.07.1985 12:00,281.6
22.07.1985 12:00,241.1
05.08.1985 12:00,173.7
19.08.1985 12:00,166.3
02.09.1985 12:00,127.0
16.09.1985 12:00,89.8
30.09.1985 12:00,75.8
14.10.1985 12:00,54.8
28.10.1985 12:00,51.5
11.11.1985 12:00,57.2
25.11.1985 12:00,41.4
16.12.1985 12:00,325.5
06.01.1986 12:00,620.9
20.01.1986 12:00,755.2
03.02.1986 12:00,921.2
01.04.1986 12:00,1190.7
14.04.1986 12:00,1300.6
28.04.1986 12:00,1315.1
12.05.1986 12:00,1237.7
26.05.1986 12:00,1249.9
09.06.1986 12:00,1105.1
23.06.1986 12:00,1021.3
07.07.1986 12:00,862.2
21.07.1986 12:00,817.6
04.08.1986 12:00,681.6
18.08.1986 12:00,777.6
01.09.1986 12:00,579.2
