date (yyyy-mm-dd HH:MM:SS),surface temperature [°C]
08.10.1969 12:00,16.6
01.04.1970 12:00,3.8
07.07.1970 12:00,21.4
08.10.1970 12:00,15.6
29.03.1971 12:00,3.6
05.07.1971 12:00,20.9
21.09.1971 12:00,17.1
22.03.1972 12:00,8.2
08.08.1972 12:00,21.5
03.10.1972 12:00,13.8
26.02.1973 12:00,2.9
12.03.1973 12:00,3.3
09.04.1973 12:00,4.7
07.05.1973 12:00,12.6
04.06.1973 12:00,19.2
02.07.1973 12:00,22.5
30.07.1973 12:00,19.4
27.08.1973 12:00,22.2
01.10.1973 12:00,16.3
22.10.1973 12:00,12.4
26.11.1973 12:00,7.2
17.12.1973 12:00,4.6
14.01.1974 12:00,4.4
11.02.1974 12:00,4.9
11.03.1974 12:00,4.3
08.04.1974 12:00,11.0
16.07.1974 12:00,21.9
03.09.1974 12:00,20.2
25.03.1975 12:00,4.9
07.08.1975 12:00,26.0
15.09.1975 12:00,18.4
22.03.1976 12:00,3.9
19.07.1976 12:00,25.15
16.08.1976 12:00,20.5
13.09.1976 12:00,17.8
11.10.1976 12:00,16.4
08.11.1976 12:00,10.9
06.12.1976 12:00,6.5
03.01.1977 12:00,3.4
31.01.1977 12:00,2.7
07.03.1977 12:00,4.5
02.05.1977 12:00,9.0
27.06.1977 12:00,19.3
21.09.1977 12:00,15.9
09.01.1978 12:00,4.1
23.01.1978 12:00,3.7
06.02.1978 12:00,3.2
06.03.1978 12:00,3.2
22.03.1978 12:00,4.1
03.04.1978 12:00,7.2
14.04.1978 12:00,6.4
24.04.1978 12:00,10.3
12.05.1978 12:00,11.4
26.05.1978 12:00,12.3
04.06.1978 12:00,21.4
15.06.1978 12:00,20.5
25.06.1978 12:00,17.7
05.07.1978 12:00,19.2
17.07.1978 12:00,22.9
31.07.1978 12:00,23.9
22.08.1978 12:00,22.7
04.09.1978 12:00,18.6
18.09.1978 12:00,19.1
02.10.1978 12:00,15.6
16.10.1978 12:00,14.0
30.10.1978 12:00,12.2
20.11.1978 12:00,9.0
11.12.1978 12:00,4.1
06.01.1979 12:00,2.8
15.01.1979 12:00,2.3
06.02.1979 12:00,2.4
04.03.1979 12:00,2.7
02.04.1979 12:00,4.6
07.08.1979 12:00,24.2
25.09.1979 12:00,16.8
25.03.1980 12:00,5.1
23.07.1980 12:00,20.0
08.10.1980 12:00,17.0
23.03.1981 12:00,4.4
14.10.1981 12:00,14.6
17.03.1982 12:00,3.6
31.03.1982 12:00,4.3
14.04.1982 12:00,5.7
28.04.1982 12:00,8.5
12.05.1982 12:00,10.7
26.05.1982 12:00,17.8
09.06.1982 12:00,24.1
23.06.1982 12:00,20.2
07.07.1982 12:00,23.4
04.08.1982 12:00,21.1
18.08.1982 12:00,22.1
01.09.1982 12:00,19.3
15.09.1982 12:00,20.8
29.09.1982 12:00,19.05
13.10.1982 12:00,14.6
27.10.1982 12:00,12.8
10.11.1982 12:00,11.2
24.11.1982 12:00,9.0
08.12.1982 12:00,7.35
22.12.1982 12:00,6.0
03.01.1983 12:00,4.9
17.01.1983 12:00,4.7
07.02.1983 12:00,4.1
21.02.1983 12:00,3.1
07.03.1983 12:00,3.4
21.03.1983 12:00,5.0
05.04.1983 12:00,5.1
18.04.1983 12:00,7.85
02.05.1983 12:00,10.35
24.05.1983 12:00,13.1
29.07.1983 12:00,26.8
10.10.1983 12:00,17.8
15.12.1983 12:00,5.0
23.01.1984 12:00,3.7
23.02.1984 12:00,2.8
23.03.1984 12:00,4.0
17.04.1984 12:00,5.6
19.06.1984 12:00,21.8
26.09.1984 12:00,15.5
18.12.1984 12:00,7.0
20.03.1985 12:00,3.0
15.04.1985 12:00,6.0
29.04.1985 12:00,8.2
13.05.1985 12:00,10.3
28.05.1985 12:00,18.35
10.06.1985 12:00,17.5
24.06.1985 12:00,17.6
08.07.1985 12:00,21.1
22.07.1985 12:00,22.8
05.08.1985 12:00,22.2
19.08.1985 12:00,22.3
02.09.1985 12:00,20.7
16.09.1985 12:00,18.6
30.09.1985 12:00,19.6
14.10.1985 12:00,17.05
28.10.1985 12:00,12.55
11.11.1985 12:00,10.0
25.11.1985 12:00,6.45
16.12.1985 12:00,5.1
06.01.1986 12:00,4.3
20.01.1986 12:00,3.9
03.02.1986 12:00,3.45
01.04.1986 12:00,3.8
14.04.1986 12:00,4.3
28.04.1986 12:00,6.65
12.05.1986 12:00,15.05
26.05.1986 12:00,17.95
09.06.1986 12:00,14.3
23.06.1986 12:00,23.45
07.07.1986 12:00,22.35
21.07.1986 12:00,20.45
04.08.1986 12:00,25.3
18.08.1986 12:00,23.3
01.09.1986 12:00,18.7
08.09.1986 12:00,18.95
15.09.1986 12:00,18.3
29.09.1986 12:00,17.05
13.10.1986 12:00,16.0
27.10.1986 12:00,12.7
10.11.1986 12:00,10.3
24.11.1986 12:00,8.6
15.12.1986 12:00,6.1
29.12.1986 12:00,5.2
19.01.1987 12:00,2.75
16.02.1987 12:00,3.0
16.03.1987 12:00,3.0
13.04.1987 12:00,4.4
27.04.1987 12:00,11.3
11.05.1987 12:00,10.45
25.05.1987 12:00,12.25
09.06.1987 12:00,14.75
22.06.1987 12:00,14.95
06.07.1987 12:00,22.0
20.07.1987 12:00,21.2
03.08.1987 12:00,20.1
17.08.1987 12:00,23.1
31.08.1987 12:00,21.3
14.09.1987 12:00,20.9
28.09.1987 12:00,18.8
12.10.1987 12:00,14.8
26.10.1987 12:00,13.2
09.11.1987 12:00,10.9
23.11.1987 12:00,7.85
14.12.1987 12:00,5.9
18.01.1988 12:00,5.3
15.02.1988 12:00,4.7
14.03.1988 12:00,4.3
11.04.1988 12:00,6.7
25.04.1988 12:00,10.9
16.05.1988 12:00,19.6
06.06.1988 12:00,16.2
18.07.1988 12:00,20.8
29.08.1988 12:00,20.3
26.09.1988 12:00,16.95
24.10.1988 12:00,13.8
23.11.1988 12:00,7.1
12.12.1988 12:00,6.3
30.01.1989 12:00,4.7
28.03.1989 12:00,7.45
17.04.1989 12:00,8.95
22.05.1989 12:00,17.9
19.06.1989 12:00,20.0
24.07.1989 12:00,23.05
14.08.1989 12:00,22.7
11.09.1989 12:00,18.9
09.10.1989 12:00,15.1
06.11.1989 12:00,12.4
04.12.1989 12:00,6.55
08.01.1990 12:00,5.0
