date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
08.10.1969 12:00,8.6
07.07.1970 12:00,6.7
08.10.1970 12:00,8.6
05.07.1971 12:00,5.0
21.09.1971 12:00,7.5
22.03.1972 12:00,3.6
08.08.1972 12:00,7.2
03.10.1972 12:00,12.0
26.02.1973 12:00,45.0
12.03.1973 12:00,45.0
07.05.1973 12:00,3.3
04.06.1973 12:00,5.8
02.07.1973 12:00,5.7
30.07.1973 12:00,7.8
27.08.1973 12:00,7.0
01.10.1973 12:00,12.0
22.10.1973 12:00,12.0
26.11.1973 12:00,17.0
08.04.1974 12:00,5.7
16.07.1974 12:00,6.4
03.09.1974 12:00,7.8
07.08.1975 12:00,6.6
15.09.1975 12:00,8.6
19.07.1976 12:00,7.0
16.08.1976 12:00,7.0
11.10.1976 12:00,10.1
27.06.1977 12:00,7.4
21.09.1977 12:00,7.5
06.02.1978 12:00,45.0
03.04.1978 12:00,1.0
14.04.1978 12:00,4.5
24.04.1978 12:00,1.3
12.05.1978 12:00,3.6
26.05.1978 12:00,8.6
04.06.1978 12:00,1.8
15.06.1978 12:00,5.4
25.06.1978 12:00,6.1
05.07.1978 12:00,6.9
17.07.1978 12:00,4.6
31.07.1978 12:00,4.9
22.08.1978 12:00,7.7
04.09.1978 12:00,8.6
18.09.1978 12:00,8.3
02.10.1978 12:00,8.6
16.10.1978 12:00,10.7
30.10.1978 12:00,12.0
20.11.1978 12:00,13.0
15.01.1979 12:00,45.0
06.02.1979 12:00,45.0
02.04.1979 12:00,1.3
07.08.1979 12:00,7.0
25.09.1979 12:00,10.1
23.07.1980 12:00,7.5
08.10.1980 12:00,8.0
14.10.1981 12:00,8.0
14.04.1982 12:00,16.6
28.04.1982 12:00,8.6
12.05.1982 12:00,6.4
26.05.1982 12:00,6.0
09.06.1982 12:00,4.0
23.06.1982 12:00,6.1
07.07.1982 12:00,6.6
04.08.1982 12:00,8.3
18.08.1982 12:00,7.0
01.09.1982 12:00,8.3
15.09.1982 12:00,8.6
29.09.1982 12:00,8.3
13.10.1982 12:00,8.6
27.10.1982 12:00,12.0
10.11.1982 12:00,12.0
24.11.1982 12:00,12.0
08.12.1982 12:00,17.0
22.12.1982 12:00,22.0
21.02.1983 12:00,45.0
21.03.1983 12:00,1.3
18.04.1983 12:00,3.6
02.05.1983 12:00,7.0
24.05.1983 12:00,8.2
29.07.1983 12:00,7.0
10.10.1983 12:00,8.5
23.02.1984 12:00,45.0
17.04.1984 12:00,10.3
19.06.1984 12:00,4.0
26.09.1984 12:00,10.8
18.12.1984 12:00,17.0
20.03.1985 12:00,45.0
15.04.1985 12:00,5.5
29.04.1985 12:00,11.5
13.05.1985 12:00,6.5
28.05.1985 12:00,3.6
10.06.1985 12:00,4.1
24.06.1985 12:00,6.2
08.07.1985 12:00,6.5
22.07.1985 12:00,6.4
05.08.1985 12:00,6.9
19.08.1985 12:00,6.9
02.09.1985 12:00,8.3
16.09.1985 12:00,8.3
30.09.1985 12:00,8.7
14.10.1985 12:00,9.0
28.10.1985 12:00,9.0
11.11.1985 12:00,12.7
25.11.1985 12:00,19.5
