date (yyyy-mm-dd HH:MM:SS),bottom oxygen concentration [mg/L]
23.02.1984 12:00,10.7
27.03.1984 12:00,5.6
26.04.1984 12:00,10.1
15.05.1984 12:00,11.2
07.06.1984 12:00,11.2
05.07.1984 12:00,6.9
14.08.1984 12:00,4.0
12.09.1984 12:00,0.7
09.10.1984 12:00,7.2
08.11.1984 12:00,9.9
04.12.1984 12:00,9.8
16.01.1985 12:00,8.4
22.02.1985 12:00,0.9
13.03.1985 12:00,0.0
11.04.1985 12:00,9.5
05.06.1985 12:00,8.6
02.07.1985 12:00,6.5
15.08.1985 12:00,2.6
04.09.1985 12:00,1.4
18.09.1985 12:00,0.4
01.10.1985 12:00,0.3
30.10.1985 12:00,8.4
04.12.1985 12:00,9.8
02.04.1986 12:00,13.9
15.05.1986 12:00,11.2
16.07.1986 12:00,6.2
27.08.1986 12:00,1.3
18.09.1986 12:00,0.5
01.10.1986 12:00,0.0
05.11.1986 12:00,9.2
26.11.1986 12:00,9.9
19.01.1987 12:00,8.9
22.04.1987 12:00,13.5
05.05.1987 12:00,10.5
19.05.1987 12:00,10.2
02.06.1987 12:00,9.8
07.07.1987 12:00,6.7
22.07.1987 12:00,5.1
12.08.1987 12:00,2.3
02.09.1987 12:00,0.8
13.10.1987 12:00,8.4
11.11.1987 12:00,8.4
02.12.1987 12:00,10.0
19.04.1988 12:00,10.0
10.05.1988 12:00,5.5
06.06.1988 12:00,4.3
20.07.1988 12:00,0.0
31.08.1988 12:00,0.2
26.10.1988 12:00,10.9
23.11.1988 12:00,7.0
14.12.1988 12:00,10.8
14.03.1989 12:00,11.0
29.03.1989 12:00,9.3
17.05.1989 12:00,2.2
13.06.1989 12:00,7.6
11.07.1989 12:00,4.1
29.08.1989 12:00,0.0
26.09.1989 12:00,0.0
25.10.1989 12:00,8.4
14.11.1989 12:00,9.9
05.12.1989 12:00,9.8
05.02.1990 12:00,11.6
06.03.1990 12:00,11.0
25.04.1990 12:00,11.0
16.05.1990 12:00,10.4
13.06.1990 12:00,7.5
10.07.1990 12:00,6.7
07.08.1990 12:00,4.0
26.09.1990 12:00,0.3
10.10.1990 12:00,1.8
07.11.1990 12:00,9.2
16.04.1991 12:00,12.1
22.05.1991 12:00,11.1
19.06.1991 12:00,8.4
16.07.1991 12:00,6.5
27.08.1991 12:00,0.3
19.09.1991 12:00,0.2
08.10.1991 12:00,0.2
19.11.1991 12:00,9.8
07.04.1992 12:00,13.1
22.04.1992 12:00,11.6
05.05.1992 12:00,9.7
10.06.1992 12:00,6.4
23.06.1992 12:00,6.1
07.07.1992 12:00,4.0
21.07.1992 12:00,1.9
26.08.1992 12:00,0.2
08.09.1992 12:00,0.1
30.09.1992 12:00,0.2
13.10.1992 12:00,0.3
17.11.1992 12:00,10.4
22.04.1993 12:00,12.5
18.05.1993 12:00,8.6
08.06.1993 12:00,7.7
22.06.1993 12:00,5.8
29.07.1993 12:00,2.3
18.08.1993 12:00,0.8
09.09.1993 12:00,0.5
29.09.1993 12:00,0.4
12.10.1993 12:00,8.2
09.11.1993 12:00,9.1
23.03.1994 12:00,12.6
26.04.1994 12:00,10.8
13.05.1994 12:00,10.8
25.05.1994 12:00,9.9
07.06.1994 12:00,8.6
20.06.1994 12:00,8.4
06.07.1994 12:00,7.0
20.07.1994 12:00,7.8
16.08.1994 12:00,3.2
30.08.1994 12:00,2.7
28.09.1994 12:00,1.0
26.10.1994 12:00,9.7
22.11.1994 12:00,9.5
09.05.1995 12:00,9.0
08.06.1995 12:00,7.8
22.06.1995 12:00,6.9
04.07.1995 12:00,7.1
19.07.1995 12:00,5.5
02.08.1995 12:00,3.6
14.08.1995 12:00,3.5
30.08.1995 12:00,2.2
12.09.1995 12:00,1.2
25.09.1995 12:00,1.2
10.10.1995 12:00,1.2
23.10.1995 12:00,1.7
31.10.1995 12:00,2.9
26.11.1995 12:00,9.0
06.05.1996 12:00,10.8
28.05.1996 12:00,9.4
20.06.1996 12:00,6.2
08.07.1996 12:00,5.4
22.07.1996 12:00,4.2
12.08.1996 12:00,2.0
26.08.1996 12:00,2.0
17.09.1996 12:00,1.4
30.09.1996 12:00,1.8
11.11.1996 12:00,9.1
24.03.1997 12:00,10.7
28.04.1997 12:00,9.8
26.05.1997 12:00,9.1
24.06.1997 12:00,6.7
21.07.1997 12:00,1.9
25.08.1997 12:00,1.8
29.09.1997 12:00,1.6
03.11.1997 12:00,9.0
24.11.1997 12:00,9.5
02.03.1998 12:00,12.0
30.03.1998 12:00,11.6
28.04.1998 12:00,10.0
12.05.1998 12:00,9.4
22.06.1998 12:00,4.9
05.07.1998 12:00,4.2
20.07.1998 12:00,3.5
25.08.1998 12:00,1.2
29.09.1998 12:00,2.0
27.10.1998 12:00,8.7
03.05.1999 12:00,9.4
25.05.1999 12:00,8.8
07.06.1999 12:00,8.4
21.06.1999 12:00,6.4
21.07.1999 12:00,4.5
10.08.1999 12:00,1.4
23.08.1999 12:00,0.6
06.09.1999 12:00,0.4
21.09.1999 12:00,0.4
18.10.1999 12:00,0.4
08.11.1999 12:00,8.4
24.11.1999 12:00,9.8
03.04.2000 12:00,11.4
01.05.2000 12:00,9.2
22.05.2000 12:00,8.4
19.06.2000 12:00,6.3
17.07.2000 12:00,2.6
02.08.2000 12:00,2.2
14.08.2000 12:00,1.8
28.08.2000 12:00,0.5
11.09.2000 12:00,0.5
02.10.2000 12:00,0.4
23.10.2000 12:00,2.6
13.11.2000 12:00,6.3
02.04.2001 12:00,7.5
30.04.2001 12:00,7.2
14.05.2001 12:00,10.9
12.06.2001 12:00,8.0
02.07.2001 12:00,5.8
26.07.2001 12:00,3.7
27.08.2001 12:00,0.9
10.09.2001 12:00,0.4
15.10.2001 12:00,0.6
05.11.2001 12:00,7.9
10.12.2001 12:00,10.9
15.04.2002 12:00,6.8
13.05.2002 12:00,5.6
17.06.2002 12:00,4.8
03.07.2002 12:00,3.6
22.07.2002 12:00,1.8
13.08.2002 12:00,1.2
26.08.2002 12:00,0.2
18.09.2002 12:00,0.6
28.10.2002 12:00,8.0
18.11.2002 12:00,6.0
31.03.2003 12:00,7.4
29.04.2003 12:00,6.6
12.06.2003 12:00,6.5
23.06.2003 12:00,5.1
14.07.2003 12:00,3.1
28.07.2003 12:00,1.0
13.08.2003 12:00,0.6
25.08.2003 12:00,0.2
17.09.2003 12:00,0.4
20.10.2003 12:00,0.6
11.11.2003 12:00,8.6
26.04.2004 12:00,11.2
25.05.2004 12:00,9.2
15.06.2004 12:00,8.4
30.06.2004 12:00,7.0
22.07.2004 12:00,5.2
11.08.2004 12:00,3.0
07.09.2004 12:00,1.0
05.10.2004 12:00,0.8
25.10.2004 12:00,2.6
09.11.2004 12:00,8.9
07.02.2005 12:00,9.5
08.03.2005 12:00,5.3
19.04.2005 12:00,11.0
24.05.2005 12:00,9.4
13.06.2005 12:00,8.9
05.07.2005 12:00,8.2
30.08.2005 12:00,0.9
20.09.2005 12:00,2.5
05.10.2005 12:00,0.4
07.11.2005 12:00,0.4
25.04.2006 12:00,10.4
29.05.2006 12:00,8.7
20.06.2006 12:00,8.0
10.07.2006 12:00,5.8
25.07.2006 12:00,4.6
09.08.2006 12:00,3.6
23.08.2006 12:00,3.2
06.09.2006 12:00,1.6
19.09.2006 12:00,1.0
16.10.2006 12:00,1.2
22.11.2006 12:00,8.7
03.04.2007 12:00,11.4
25.04.2007 12:00,8.5
05.06.2007 12:00,7.3
27.06.2007 12:00,6.3
12.07.2007 12:00,4.9
18.07.2007 12:00,4.1
08.08.2007 12:00,1.9
22.08.2007 12:00,2.3
11.09.2007 12:00,1.4
25.09.2007 12:00,0.9
17.10.2007 12:00,0.8
13.11.2007 12:00,6.8
17.03.2008 12:00,13.3
02.04.2008 12:00,12.0
26.05.2008 12:00,8.0
10.06.2008 12:00,7.3
24.06.2008 12:00,6.6
02.07.2008 12:00,6.1
22.07.2008 12:00,4.6
06.08.2008 12:00,3.4
19.08.2008 12:00,3.2
03.09.2008 12:00,1.9
23.09.2008 12:00,0.9
09.10.2008 12:00,1.4
12.11.2008 12:00,8.6
22.04.2009 12:00,6.4
12.05.2009 12:00,8.4
25.05.2009 12:00,7.8
30.06.2009 12:00,5.6
07.07.2009 12:00,4.4
21.07.2009 12:00,3.6
05.08.2009 12:00,2.6
20.08.2009 12:00,0.4
01.09.2009 12:00,0.0
15.09.2009 12:00,0.0
14.10.2009 12:00,0.0
11.11.2009 12:00,8.2
21.04.2010 12:00,9.6
18.05.2010 12:00,8.1
23.06.2010 12:00,7.2
06.07.2010 12:00,6.2
20.07.2010 12:00,5.1
04.08.2010 12:00,3.6
19.08.2010 12:00,2.8
02.09.2010 12:00,2.2
14.09.2010 12:00,1.4
07.10.2010 12:00,0.1
10.11.2010 12:00,7.8
31.03.2011 12:00,10.6
11.04.2011 12:00,10.4
17.05.2011 12:00,7.1
28.06.2011 12:00,4.4
13.07.2011 12:00,2.8
26.07.2011 12:00,0.9
11.08.2011 12:00,0.1
30.08.2011 12:00,0.1
13.09.2011 12:00,0.0
28.09.2011 12:00,0.0
18.10.2011 12:00,0.0
09.11.2011 12:00,0.0
17.04.2012 12:00,10.9
02.05.2012 12:00,10.1
06.06.2012 12:00,7.5
13.06.2012 12:00,0.0
03.07.2012 12:00,5.0
19.07.2012 12:00,3.4
09.08.2012 12:00,0.4
28.08.2012 12:00,0.1
26.09.2012 12:00,0.1
31.10.2012 12:00,7.2
27.11.2012 12:00,8.1
15.04.2013 12:00,10.5
15.05.2013 12:00,8.4
05.06.2013 12:00,8.0
02.07.2013 12:00,6.4
18.07.2013 12:00,5.6
08.08.2013 12:00,3.7
27.08.2013 12:00,1.6
25.09.2013 12:00,0.4
31.10.2013 12:00,3.4
15.04.2014 12:00,9.3
20.05.2014 12:00,9.0
04.06.2014 12:00,6.6
17.07.2014 12:00,2.8
07.08.2014 12:00,0.4
04.09.2014 12:00,0.1
25.09.2014 12:00,0.1
30.10.2014 12:00,0.2
04.12.2014 12:00,8.2
14.04.2015 12:00,10.6
06.05.2015 12:00,9.2
11.06.2015 12:00,6.6
02.07.2015 12:00,4.7
16.07.2015 12:00,3.6
11.08.2015 12:00,1.4
25.08.2015 12:00,0.4
29.09.2015 12:00,0.4
29.10.2015 12:00,7.6
03.12.2015 12:00,9.6
14.04.2016 12:00,10.1
20.05.2016 12:00,8.3
09.06.2016 12:00,6.6
14.07.2016 12:00,4.0
28.07.2016 12:00,2.4
11.08.2016 12:00,2.0
25.08.2016 12:00,1.0
08.09.2016 12:00,1.2
22.09.2016 12:00,0.6
27.10.2016 12:00,0.4
06.12.2016 12:00,10.1
06.04.2017 12:00,10.5
10.05.2017 12:00,9.1
14.06.2017 12:00,6.8
06.07.2017 12:00,4.6
26.07.2017 12:00,3.6
10.08.2017 12:00,2.2
23.08.2017 12:00,0.8
07.09.2017 12:00,0.4
21.09.2017 12:00,0.4
11.10.2017 12:00,0.4
01.11.2017 12:00,3.6
23.04.2018 12:00,10.6
07.05.2018 12:00,10.0
04.06.2018 12:00,8.0
05.07.2018 12:00,5.5
19.07.2018 12:00,2.8
02.08.2018 12:00,0.7
22.08.2018 12:00,0.2
08.10.2018 12:00,0.0
05.11.2018 12:00,7.4
06.12.2018 12:00,9.1
25.03.2019 12:00,11.4
11.04.2019 12:00,11.4
23.05.2019 12:00,9.6
05.06.2019 12:00,8.2
26.06.2019 12:00,7.0
18.07.2019 12:00,4.3
26.08.2019 12:00,0.6
04.09.2019 12:00,0.2
23.09.2019 12:00,0.2
16.10.2019 12:00,0.5
02.12.2019 12:00,9.0
09.01.2020 12:00,10.9
11.03.2020 12:00,11.4
13.05.2020 12:00,8.6
04.06.2020 12:00,6.1
24.06.2020 12:00,4.4
08.07.2020 12:00,2.5
22.07.2020 12:00,0.8
05.08.2020 12:00,0.3
19.08.2020 12:00,0.2
17.09.2020 12:00,0.3
14.10.2020 12:00,0.4
30.11.2020 12:00,9.8
10.03.2021 12:00,11.2
05.05.2021 12:00,10.4
02.06.2021 12:00,8.9
24.06.2021 12:00,7.4
08.07.2021 12:00,6.7
20.07.2021 12:00,6.2
04.08.2021 12:00,5.0
19.08.2021 12:00,2.3
01.09.2021 12:00,0.8
15.09.2021 12:00,0.3
27.10.2021 12:00,7.6
11.11.2021 12:00,9.7
22.03.2022 12:00,11.2
03.05.2022 12:00,10.0
09.06.2022 12:00,7.6
05.07.2022 12:00,5.0
20.07.2022 12:00,3.2
09.08.2022 12:00,2.1
24.08.2022 12:00,0.9
06.09.2022 12:00,0.4
20.09.2022 12:00,0.3
30.11.2022 12:00,9.6
28.03.2023 12:00,10.7
02.05.2023 12:00,9.9
06.06.2023 12:00,8.1
06.07.2023 12:00,4.8
19.07.2023 12:00,3.4
09.08.2023 12:00,0.6
23.08.2023 12:00,0.4
05.09.2023 12:00,0.4
19.09.2023 12:00,0.4
08.11.2023 12:00,8.7
29.11.2023 12:00,10.0
