date,depth,density [kg m-3]
23.02.1984 12:00,0.0,1000.021
23.02.1984 12:00,2.5,1000.069
23.02.1984 12:00,5.0,1000.064
23.02.1984 12:00,7.5,1000.064
23.02.1984 12:00,10.0,1000.059
23.02.1984 12:00,15.0,1000.071
23.02.1984 12:00,20.0,1000.071
23.02.1984 12:00,25.0,1000.083
23.02.1984 12:00,30.0,1000.08
26.04.1984 12:00,0.0,1000.139
26.04.1984 12:00,2.5,1000.135
26.04.1984 12:00,5.0,1000.135
26.04.1984 12:00,7.5,1000.135
26.04.1984 12:00,10.0,1000.135
26.04.1984 12:00,15.0,1000.135
26.04.1984 12:00,20.0,1000.135
26.04.1984 12:00,25.0,1000.135
26.04.1984 12:00,30.0,1000.135
15.05.1984 12:00,0.0,1000.103
15.05.1984 12:00,2.5,1000.118
15.05.1984 12:00,5.0,1000.12
15.05.1984 12:00,7.5,1000.118
15.05.1984 12:00,10.0,1000.12
15.05.1984 12:00,20.0,1000.12
15.05.1984 12:00,25.0,1000.118
15.05.1984 12:00,30.0,1000.114
07.06.1984 12:00,0.0,999.803
07.06.1984 12:00,2.5,999.937
07.06.1984 12:00,5.0,999.972
07.06.1984 12:00,7.5,999.978
07.06.1984 12:00,10.0,999.992
07.06.1984 12:00,15.0,1000.006
07.06.1984 12:00,20.0,1000.012
07.06.1984 12:00,25.0,1000.036
07.06.1984 12:00,30.0,1000.029
05.07.1984 12:00,0.0,999.052
05.07.1984 12:00,2.5,999.133
05.07.1984 12:00,5.0,999.447
05.07.1984 12:00,7.5,999.739
05.07.1984 12:00,10.0,999.942
05.07.1984 12:00,15.0,1000.026
05.07.1984 12:00,20.0,1000.039
05.07.1984 12:00,25.0,1000.049
05.07.1984 12:00,30.0,1000.06
14.08.1984 12:00,0.0,998.953
14.08.1984 12:00,2.5,998.988
14.08.1984 12:00,5.0,998.997
14.08.1984 12:00,7.5,999.082
14.08.1984 12:00,10.0,999.75
14.08.1984 12:00,15.0,999.937
14.08.1984 12:00,20.0,999.975
14.08.1984 12:00,25.0,999.99
14.08.1984 12:00,30.0,999.996
12.09.1984 12:00,0.0,999.38
12.09.1984 12:00,2.5,999.38
12.09.1984 12:00,5.0,999.381
12.09.1984 12:00,7.5,999.395
12.09.1984 12:00,10.0,999.574
12.09.1984 12:00,15.0,999.879
12.09.1984 12:00,20.0,999.937
12.09.1984 12:00,25.0,999.96
12.09.1984 12:00,30.0,999.968
09.10.1984 12:00,0.0,999.776
09.10.1984 12:00,2.5,999.777
09.10.1984 12:00,5.0,999.797
09.10.1984 12:00,7.5,999.807
09.10.1984 12:00,10.0,999.807
09.10.1984 12:00,15.0,999.807
09.10.1984 12:00,20.0,999.817
09.10.1984 12:00,25.0,999.859
09.10.1984 12:00,30.0,999.889
08.11.1984 12:00,0.0,999.905
08.11.1984 12:00,2.5,999.921
08.11.1984 12:00,5.0,999.921
08.11.1984 12:00,7.5,999.921
08.11.1984 12:00,10.0,999.921
08.11.1984 12:00,15.0,999.921
08.11.1984 12:00,20.0,999.921
08.11.1984 12:00,25.0,999.921
08.11.1984 12:00,30.0,999.93
04.12.1984 12:00,0.0,1000.057
04.12.1984 12:00,2.5,1000.068
04.12.1984 12:00,5.0,1000.068
04.12.1984 12:00,7.5,1000.068
04.12.1984 12:00,10.0,1000.067
04.12.1984 12:00,15.0,1000.066
04.12.1984 12:00,20.0,1000.066
04.12.1984 12:00,25.0,1000.073
04.12.1984 12:00,30.0,1000.083
16.01.1985 12:00,0.0,1000.045
16.01.1985 12:00,2.5,1000.095
16.01.1985 12:00,5.0,1000.104
16.01.1985 12:00,7.5,1000.105
16.01.1985 12:00,10.0,1000.105
16.01.1985 12:00,15.0,1000.106
16.01.1985 12:00,20.0,1000.112
16.01.1985 12:00,25.0,1000.12
16.01.1985 12:00,30.0,1000.133
22.02.1985 12:00,0.0,1000.006
22.02.1985 12:00,2.5,1000.112
22.02.1985 12:00,5.0,1000.112
22.02.1985 12:00,7.5,1000.112
22.02.1985 12:00,10.0,1000.116
22.02.1985 12:00,15.0,1000.12
22.02.1985 12:00,20.0,1000.125
22.02.1985 12:00,25.0,1000.145
22.02.1985 12:00,30.0,1000.16
13.03.1985 12:00,0.0,999.988
13.03.1985 12:00,2.5,1000.11
13.03.1985 12:00,5.0,1000.114
13.03.1985 12:00,7.5,1000.116
13.03.1985 12:00,10.0,1000.119
13.03.1985 12:00,15.0,1000.123
13.03.1985 12:00,20.0,1000.129
13.03.1985 12:00,25.0,1000.141
13.03.1985 12:00,30.0,1000.166
05.06.1985 12:00,0.0,999.114
05.06.1985 12:00,2.5,999.272
05.06.1985 12:00,5.0,999.596
05.06.1985 12:00,7.5,999.868
05.06.1985 12:00,10.0,1000.066
05.06.1985 12:00,15.0,1000.09
05.06.1985 12:00,20.0,1000.104
05.06.1985 12:00,25.0,1000.104
05.06.1985 12:00,30.0,1000.107
02.07.1985 12:00,0.0,998.891
02.07.1985 12:00,2.5,999.159
02.07.1985 12:00,5.0,999.312
02.07.1985 12:00,7.5,999.702
02.07.1985 12:00,10.0,999.777
02.07.1985 12:00,15.0,999.975
02.07.1985 12:00,20.0,1000.033
02.07.1985 12:00,25.0,1000.038
02.07.1985 12:00,30.0,1000.044
15.08.1985 12:00,0.0,998.621
15.08.1985 12:00,2.5,998.771
15.08.1985 12:00,5.0,998.897
15.08.1985 12:00,7.5,999.12
15.08.1985 12:00,10.0,999.476
15.08.1985 12:00,15.0,999.809
15.08.1985 12:00,20.0,999.907
15.08.1985 12:00,25.0,999.923
15.08.1985 12:00,30.0,999.939
04.09.1985 12:00,0.0,999.113
04.09.1985 12:00,2.5,999.115
04.09.1985 12:00,5.0,999.147
04.09.1985 12:00,7.5,999.171
04.09.1985 12:00,10.0,999.234
04.09.1985 12:00,15.0,999.736
04.09.1985 12:00,20.0,999.873
04.09.1985 12:00,25.0,999.89
04.09.1985 12:00,30.0,999.899
18.09.1985 12:00,0.0,999.171
18.09.1985 12:00,2.5,999.187
18.09.1985 12:00,5.0,999.234
18.09.1985 12:00,7.5,999.249
18.09.1985 12:00,10.0,999.264
18.09.1985 12:00,15.0,999.634
18.09.1985 12:00,20.0,999.856
18.09.1985 12:00,25.0,999.873
18.09.1985 12:00,30.0,999.891
01.10.1985 12:00,0.0,998.952
01.10.1985 12:00,2.5,998.987
01.10.1985 12:00,5.0,999.104
01.10.1985 12:00,7.5,999.184
01.10.1985 12:00,10.0,999.295
01.10.1985 12:00,15.0,999.657
01.10.1985 12:00,20.0,999.856
01.10.1985 12:00,25.0,999.874
01.10.1985 12:00,30.0,999.883
30.10.1985 12:00,0.0,999.764
