date (yyyy-mm-dd HH:MM:SS),heat content [J/m2]
23.02.1984 12:00,68239402.0
27.03.1984 12:00,75670304.0
26.04.1984 12:00,215898504.0
15.05.1984 12:00,358974902.0
07.06.1984 12:00,549028697.0
05.07.1984 12:00,696572232.0
14.08.1984 12:00,821434190.0
12.09.1984 12:00,773892399.0
09.10.1984 12:00,676225274.0
08.11.1984 12:00,592186236.0
04.12.1984 12:00,437417828.0
16.01.1985 12:00,121989600.0
22.02.1985 12:00,148939433.0
13.03.1985 12:00,139065302.0
11.04.1985 12:00,174182927.0
05.06.1985 12:00,616628096.0
02.07.1985 12:00,746039999.0
15.08.1985 12:00,892786941.0
04.09.1985 12:00,877980240.0
18.09.1985 12:00,875339772.0
01.10.1985 12:00,898471688.0
30.10.1985 12:00,671295493.0
04.12.1985 12:00,282742783.0
02.04.1986 12:00,111061707.0
15.05.1986 12:00,459219234.0
16.07.1986 12:00,749601466.0
27.08.1986 12:00,833392829.0
18.09.1986 12:00,860955463.0
01.10.1986 12:00,821121330.0
05.11.1986 12:00,632081159.0
26.11.1986 12:00,517486479.0
19.01.1987 12:00,146777099.0
22.04.1987 12:00,348270932.0
05.05.1987 12:00,448634317.0
19.05.1987 12:00,483810143.0
02.06.1987 12:00,567075648.0
07.07.1987 12:00,721811008.0
22.07.1987 12:00,776202881.0
12.08.1987 12:00,824490427.0
02.09.1987 12:00,905056290.0
13.10.1987 12:00,783458234.0
11.11.1987 12:00,649334090.0
02.12.1987 12:00,396368996.0
20.07.1988 12:00,791378539.0
31.08.1988 12:00,927284366.0
26.10.1988 12:00,734091348.0
23.11.1988 12:00,464921828.0
14.12.1988 12:00,289274632.0
14.03.1989 12:00,235496133.0
29.03.1989 12:00,311569110.0
17.05.1989 12:00,603901163.0
13.06.1989 12:00,734375747.0
11.07.1989 12:00,893742813.0
29.08.1989 12:00,971411710.0
26.09.1989 12:00,886034481.0
25.10.1989 12:00,743882364.0
14.11.1989 12:00,565213632.0
05.12.1989 12:00,320714046.0
05.02.1990 12:00,202634363.0
06.03.1990 12:00,199744840.0
25.04.1990 12:00,376005775.0
16.05.1990 12:00,605034927.0
13.06.1990 12:00,697243718.0
10.07.1990 12:00,832146739.0
07.08.1990 12:00,980051368.0
26.09.1990 12:00,817035391.0
10.10.1990 12:00,909881543.0
07.11.1990 12:00,560589692.0
16.04.1991 12:00,404317612.0
22.05.1991 12:00,507424580.0
19.06.1991 12:00,683909863.0
16.07.1991 12:00,991234632.0
27.08.1991 12:00,1017900047.0
19.09.1991 12:00,965129594.0
08.10.1991 12:00,806044863.0
19.11.1991 12:00,457905955.0
07.04.1992 12:00,256416140.0
22.04.1992 12:00,343735272.0
05.05.1992 12:00,435851489.0
10.06.1992 12:00,727417939.0
23.06.1992 12:00,777117240.0
07.07.1992 12:00,856442000.0
21.07.1992 12:00,937809616.0
26.08.1992 12:00,1021175262.0
08.09.1992 12:00,894442775.0
30.09.1992 12:00,896870582.0
13.10.1992 12:00,793571709.0
17.11.1992 12:00,440829463.0
22.04.1993 12:00,436348421.0
18.05.1993 12:00,602221147.0
08.06.1993 12:00,771838518.0
22.06.1993 12:00,811970769.0
29.07.1993 12:00,925788174.0
18.08.1993 12:00,1043847055.0
09.09.1993 12:00,841909638.0
29.09.1993 12:00,749670760.0
12.10.1993 12:00,646966128.0
09.11.1993 12:00,460095349.0
23.03.1994 12:00,152107678.0
26.04.1994 12:00,238678217.0
13.05.1994 12:00,417373320.0
25.05.1994 12:00,504561398.0
07.06.1994 12:00,615310404.0
20.06.1994 12:00,687066739.0
06.07.1994 12:00,832532390.0
20.07.1994 12:00,816036283.0
16.08.1994 12:00,853534423.0
30.08.1994 12:00,823232985.0
28.09.1994 12:00,659886386.0
26.10.1994 12:00,523065996.0
22.11.1994 12:00,426237771.0
09.05.1995 12:00,522345069.0
08.06.1995 12:00,689205728.0
22.06.1995 12:00,789103861.0
04.07.1995 12:00,876152851.0
19.07.1995 12:00,990749634.0
02.08.1995 12:00,1070659392.0
14.08.1995 12:00,1029206055.0
30.08.1995 12:00,934219469.0
12.09.1995 12:00,843552283.0
25.09.1995 12:00,783676352.0
10.10.1995 12:00,849665391.0
23.10.1995 12:00,803245771.0
31.10.1995 12:00,793905729.0
26.11.1995 12:00,494156402.0
06.05.1996 12:00,521423591.0
28.05.1996 12:00,683427884.0
20.06.1996 12:00,867165936.0
08.07.1996 12:00,811681729.0
22.07.1996 12:00,951881524.0
12.08.1996 12:00,980196749.0
26.08.1996 12:00,980798430.0
17.09.1996 12:00,811128788.0
30.09.1996 12:00,811717495.0
11.11.1996 12:00,605409337.0
24.03.1997 12:00,311153047.0
28.04.1997 12:00,466723244.0
26.05.1997 12:00,728946102.0
24.06.1997 12:00,818932613.0
21.07.1997 12:00,927211138.0
25.08.1997 12:00,1026286063.0
29.09.1997 12:00,964033162.0
03.11.1997 12:00,616931692.0
24.11.1997 12:00,469166311.0
02.03.1998 12:00,188702218.0
30.03.1998 12:00,278156167.0
28.04.1998 12:00,412254748.0
12.05.1998 12:00,628011458.0
22.06.1998 12:00,839890097.0
05.07.1998 12:00,945951101.0
20.07.1998 12:00,978077160.0
25.08.1998 12:00,990764771.0
29.09.1998 12:00,824985431.0
27.10.1998 12:00,661337622.0
03.05.1999 12:00,412437399.0
25.05.1999 12:00,662399439.0
07.06.1999 12:00,759806523.0
21.06.1999 12:00,802660717.0
21.07.1999 12:00,961557611.0
10.08.1999 12:00,1021577604.0
23.08.1999 12:00,959846523.0
06.09.1999 12:00,954667352.0
21.09.1999 12:00,948308570.0
18.10.1999 12:00,757603336.0
08.11.1999 12:00,645393442.0
24.11.1999 12:00,400416796.0
03.04.2000 12:00,260778965.0
01.05.2000 12:00,488115300.0
22.05.2000 12:00,627965263.0
19.06.2000 12:00,904810568.0
17.07.2000 12:00,837689436.0
02.08.2000 12:00,950316300.0
14.08.2000 12:00,1010714450.0
28.08.2000 12:00,1018910943.0
11.09.2000 12:00,963407879.0
02.10.2000 12:00,894033596.0
23.10.2000 12:00,755315404.0
13.11.2000 12:00,564050536.0
02.04.2001 12:00,349757959.0
30.04.2001 12:00,417931302.0
14.05.2001 12:00,538703581.0
12.06.2001 12:00,759041645.0
02.07.2001 12:00,969168741.0
26.07.2001 12:00,944620810.0
27.08.2001 12:00,1039991382.0
10.09.2001 12:00,894467116.0
15.10.2001 12:00,822650629.0
05.11.2001 12:00,698885335.0
10.12.2001 12:00,321811693.0
15.04.2002 12:00,366805381.0
13.05.2002 12:00,535320319.0
17.06.2002 12:00,847700457.0
03.07.2002 12:00,897262874.0
22.07.2002 12:00,985681543.0
13.08.2002 12:00,948661243.0
26.08.2002 12:00,992442962.0
18.09.2002 12:00,943976510.0
28.10.2002 12:00,702032114.0
18.11.2002 12:00,530248214.0
31.03.2003 12:00,250729483.0
29.04.2003 12:00,477543226.0
12.06.2003 12:00,912035119.0
23.06.2003 12:00,955470406.0
14.07.2003 12:00,1065067225.0
28.07.2003 12:00,1037681549.0
13.08.2003 12:00,1103592845.0
25.08.2003 12:00,1082174893.0
17.09.2003 12:00,911349662.0
20.10.2003 12:00,728180510.0
11.11.2003 12:00,532373706.0
26.04.2004 12:00,421358167.0
25.05.2004 12:00,631969410.0
15.06.2004 12:00,762906595.0
30.06.2004 12:00,889235674.0
22.07.2004 12:00,975167713.0
11.08.2004 12:00,1059764371.0
07.09.2004 12:00,988950560.0
05.10.2004 12:00,899089274.0
25.10.2004 12:00,779946978.0
09.11.2004 12:00,623921566.0
07.02.2005 12:00,137017582.0
08.03.2005 12:00,136980484.0
19.04.2005 12:00,264309807.0
24.05.2005 12:00,584623775.0
13.06.2005 12:00,707690647.0
05.07.2005 12:00,852510440.0
30.08.2005 12:00,931837748.0
20.09.2005 12:00,821926797.0
05.10.2005 12:00,792951760.0
07.11.2005 12:00,745014654.0
25.04.2006 12:00,389366453.0
29.05.2006 12:00,623057595.0
20.06.2006 12:00,872330313.0
10.07.2006 12:00,995242404.0
25.07.2006 12:00,1068891614.0
09.08.2006 12:00,1009175448.0
23.08.2006 12:00,911436809.0
06.09.2006 12:00,936935321.0
19.09.2006 12:00,926358156.0
16.10.2006 12:00,837475198.0
22.11.2006 12:00,570935758.0
03.04.2007 12:00,308964805.0
25.04.2007 12:00,573021669.0
05.06.2007 12:00,782174093.0
12.07.2007 12:00,839220720.0
18.07.2007 12:00,938632038.0
08.08.2007 12:00,970953401.0
22.08.2007 12:00,930426258.0
11.09.2007 12:00,917575833.0
25.09.2007 12:00,884377022.0
17.10.2007 12:00,833611748.0
13.11.2007 12:00,466167915.0
17.03.2008 12:00,249447931.0
02.04.2008 12:00,251446191.0
26.05.2008 12:00,579571995.0
10.06.2008 12:00,675156218.0
24.06.2008 12:00,782355095.0
02.07.2008 12:00,1027198461.0
22.07.2008 12:00,870537851.0
06.08.2008 12:00,925396173.0
19.08.2008 12:00,894765898.0
03.09.2008 12:00,930573875.0
23.09.2008 12:00,807154904.0
09.10.2008 12:00,724670438.0
12.11.2008 12:00,602854768.0
22.04.2009 12:00,331918188.0
12.05.2009 12:00,533864687.0
25.05.2009 12:00,663714754.0
30.06.2009 12:00,847715145.0
07.07.2009 12:00,871816810.0
21.07.2009 12:00,891889636.0
05.08.2009 12:00,959572285.0
20.08.2009 12:00,1016579116.0
01.09.2009 12:00,1002138856.0
15.09.2009 12:00,899934505.0
14.10.2009 12:00,847265481.0
11.11.2009 12:00,592700888.0
21.04.2010 12:00,354898188.0
18.05.2010 12:00,502862634.0
23.06.2010 12:00,733529180.0
06.07.2010 12:00,864629638.0
