date (yyyy-mm-dd HH:MM:SS),hypolimnetic density [kg/m3]
21.01.1988 12:00,999.9496657624159
29.02.1988 12:00,999.9978982555243
30.03.1988 12:00,999.9914366560301
28.04.1988 12:00,999.9719891606279
08.06.1988 12:00,999.9620530387449
21.07.1988 12:00,999.893409151827
13.10.1988 12:00,999.8544141861872
15.11.1988 12:00,999.8214872101998
20.12.1988 12:00,999.9337901290565
25.01.1989 12:00,999.993690635446
15.02.1989 12:00,1000.001808829533
22.03.1989 12:00,999.9928025719432
19.04.1989 12:00,999.9614871503892
17.05.1989 12:00,999.914943922755
21.06.1989 12:00,999.8914744940449
19.07.1989 12:00,999.929128763761
23.08.1989 12:00,999.8788750170916
20.09.1989 12:00,999.8784032079727
23.10.1989 12:00,999.8280285785448
22.11.1989 12:00,999.8451232870862
18.12.1989 12:00,999.8191482462513
23.01.1990 12:00,999.9836757357295
26.02.1990 12:00,1000.0050750824802
19.03.1990 12:00,999.998229607568
17.04.1990 12:00,999.9481496375372
14.05.1990 12:00,999.9358146471809
19.06.1990 12:00,999.9307357271921
17.07.1990 12:00,999.9121244738626
23.08.1990 12:00,999.8983406150327
26.09.1990 12:00,999.9263738649329
16.10.1990 12:00,999.9011927365905
19.12.1990 12:00,999.9360736228932
29.01.1991 12:00,1000.0090857048976
26.02.1991 12:00,1000.0229064587004
25.03.1991 12:00,1000.0211540118029
15.04.1991 12:00,1000.0003707191722
20.05.1991 12:00,999.8586964550223
11.06.1991 12:00,999.9160696337991
16.07.1991 12:00,999.8965906592169
03.09.1991 12:00,999.8780884678104
23.09.1991 12:00,999.8467268020157
21.10.1991 12:00,999.5605856190335
19.11.1991 12:00,999.7781579738684
21.01.1992 12:00,999.9958687171335
18.02.1992 12:00,1000.0152487216309
17.03.1992 12:00,1000.0028989333236
14.04.1992 12:00,999.9889856809846
19.05.1992 12:00,999.9417861293421
15.06.1992 12:00,999.9350023277829
07.07.1992 12:00,999.9269452723789
04.08.1992 12:00,999.9014971649143
08.09.1992 12:00,999.9095610392999
07.10.1992 12:00,999.817395905878
10.11.1992 12:00,999.8313865159076
01.12.1992 12:00,999.8174984594485
27.01.1993 12:00,1000.0066885214802
24.02.1993 12:00,1000.0127252696963
23.03.1993 12:00,1000.0085238976201
27.04.1993 12:00,999.9718622250083
25.05.1993 12:00,999.9537357676538
22.06.1993 12:00,999.8972601475579
20.07.1993 12:00,999.8669924723704
10.08.1993 12:00,999.9245086927525
14.09.1993 12:00,999.9282593865465
12.10.1993 12:00,999.7464935363391
01.11.1993 12:00,999.7781857386653
01.12.1993 12:00,999.8689104704273
11.01.1994 12:00,999.9761371563517
08.02.1994 12:00,1000.001388589656
08.03.1994 12:00,1000.0106805915351
06.04.1994 12:00,999.9486192325694
03.05.1994 12:00,999.9573722243211
31.05.1994 12:00,999.9355163635714
28.06.1994 12:00,999.8331281318286
26.07.1994 12:00,999.9039849974004
30.08.1994 12:00,999.8535412188687
27.09.1994 12:00,999.7606311900637
25.10.1994 12:00,999.7896372750054
22.11.1994 12:00,999.8208062591406
07.03.1995 12:00,1000.0020232703557
07.06.1995 12:00,999.8523228895411
11.09.1995 12:00,999.829497869008
11.12.1995 12:00,999.8579306776071
12.03.1996 12:00,1000.0041659333308
23.04.1996 12:00,999.98550277722
27.05.1996 12:00,999.9321345725539
17.06.1996 12:00,999.8726819280902
15.07.1996 12:00,999.8398498953064
12.08.1996 12:00,999.8021711932943
16.09.1996 12:00,999.7693077474852
14.10.1996 12:00,999.7480199381839
20.11.1996 12:00,999.7660088427883
09.12.1996 12:00,999.8880808152978
14.01.1997 12:00,999.9712287998661
12.02.1997 12:00,999.9927919269746
10.03.1997 12:00,999.9886240730424
08.04.1997 12:00,999.9144753470495
21.05.1997 12:00,999.6373654453364
10.06.1997 12:00,999.8524776051879
15.07.1997 12:00,999.7899649109991
11.08.1997 12:00,999.7836606949804
10.09.1997 12:00,999.7317624565975
07.10.1997 12:00,999.8072994313616
04.11.1997 12:00,999.7380955922024
10.12.1997 12:00,999.8092720998235
19.01.1998 12:00,999.9463048005761
16.02.1998 12:00,999.9899981762139
09.03.1998 12:00,999.9762952274257
