date (yyyy-mm-dd HH:MM:SS),hypolimnetic oxygen content [t]
21.01.1988 12:00,16.9
29.02.1988 12:00,16.9
30.03.1988 12:00,17.4
28.04.1988 12:00,17.9
08.06.1988 12:00,17.2
21.07.1988 12:00,16.1
13.10.1988 12:00,13.2
15.11.1988 12:00,13.0
20.12.1988 12:00,17.4
25.01.1989 12:00,16.6
15.02.1989 12:00,16.9
22.03.1989 12:00,17.7
19.04.1989 12:00,17.4
17.05.1989 12:00,17.5
21.06.1989 12:00,16.2
19.07.1989 12:00,15.9
23.08.1989 12:00,15.3
20.09.1989 12:00,14.8
23.10.1989 12:00,13.3
22.11.1989 12:00,13.7
18.12.1989 12:00,15.9
23.01.1990 12:00,16.2
26.02.1990 12:00,15.4
19.03.1990 12:00,16.2
17.04.1990 12:00,16.9
14.05.1990 12:00,13.7
19.06.1990 12:00,15.4
17.07.1990 12:00,14.9
23.08.1990 12:00,14.6
26.09.1990 12:00,13.7
16.10.1990 12:00,12.5
19.12.1990 12:00,15.8
29.01.1991 12:00,15.3
26.02.1991 12:00,12.5
25.03.1991 12:00,12.5
15.04.1991 12:00,14.3
20.05.1991 12:00,17.5
11.06.1991 12:00,14.9
16.07.1991 12:00,13.3
03.09.1991 12:00,13.2
23.09.1991 12:00,12.0
21.10.1991 12:00,15.9
19.11.1991 12:00,16.8
21.01.1992 12:00,16.7
18.02.1992 12:00,16.2
17.03.1992 12:00,16.6
14.04.1992 12:00,17.5
19.05.1992 12:00,18.0
15.06.1992 12:00,16.9
07.07.1992 12:00,16.3
04.08.1992 12:00,15.1
08.09.1992 12:00,14.8
07.10.1992 12:00,11.9
10.11.1992 12:00,14.0
01.12.1992 12:00,15.3
27.01.1993 12:00,17.9
24.02.1993 12:00,16.7
23.03.1993 12:00,17.4
27.04.1993 12:00,17.2
25.05.1993 12:00,17.5
22.06.1993 12:00,16.1
20.07.1993 12:00,15.4
10.08.1993 12:00,14.3
14.09.1993 12:00,14.6
12.10.1993 12:00,13.5
01.11.1993 12:00,15.6
01.12.1993 12:00,18.0
11.01.1994 12:00,16.8
08.02.1994 12:00,17.5
08.03.1994 12:00,16.2
06.04.1994 12:00,18.0
03.05.1994 12:00,18.2
31.05.1994 12:00,17.5
28.06.1994 12:00,16.2
26.07.1994 12:00,14.9
30.08.1994 12:00,15.1
27.09.1994 12:00,12.5
25.10.1994 12:00,13.2
22.11.1994 12:00,14.9
07.03.1995 12:00,18.7
07.06.1995 12:00,17.2
11.09.1995 12:00,12.7
11.12.1995 12:00,16.9
12.03.1996 12:00,16.9
23.04.1996 12:00,17.2
27.05.1996 12:00,16.7
17.06.1996 12:00,15.7
15.07.1996 12:00,14.5
