date (yyyy-mm-dd HH:MM:SS),mixing depth with salinity (0.005 kgm-3) [m]
21.01.1988 12:00,52.0
29.02.1988 12:00,38.0
30.03.1988 12:00,15.0
28.04.1988 12:00,7.0
08.06.1988 12:00,7.0
21.07.1988 12:00,7.0
13.10.1988 12:00,11.0
15.11.1988 12:00,9.0
20.12.1988 12:00,53.0
25.01.1989 12:00,59.0
15.02.1989 12:00,58.0
22.03.1989 12:00,21.0
19.04.1989 12:00,7.0
17.05.1989 12:00,7.0
21.06.1989 12:00,7.0
19.07.1989 12:00,7.0
23.08.1989 12:00,7.0
20.09.1989 12:00,7.0
23.10.1989 12:00,8.0
22.11.1989 12:00,21.0
18.12.1989 12:00,36.0
23.01.1990 12:00,58.0
26.02.1990 12:00,9.0
19.03.1990 12:00,7.0
17.04.1990 12:00,8.0
14.05.1990 12:00,7.0
19.06.1990 12:00,7.0
17.07.1990 12:00,7.0
23.08.1990 12:00,7.0
26.09.1990 12:00,9.0
16.10.1990 12:00,7.0
19.12.1990 12:00,57.0
29.01.1991 12:00,133.0
26.02.1991 12:00,16.0
25.03.1991 12:00,22.0
15.04.1991 12:00,7.0
20.05.1991 12:00,11.0
11.06.1991 12:00,7.0
16.07.1991 12:00,7.0
03.09.1991 12:00,7.0
23.09.1991 12:00,8.0
21.10.1991 12:00,21.0
19.11.1991 12:00,16.0
21.01.1992 12:00,60.0
18.02.1992 12:00,66.0
17.03.1992 12:00,29.0
14.04.1992 12:00,7.0
19.05.1992 12:00,7.0
15.06.1992 12:00,7.0
07.07.1992 12:00,7.0
04.08.1992 12:00,7.0
08.09.1992 12:00,7.0
07.10.1992 12:00,7.0
10.11.1992 12:00,9.0
01.12.1992 12:00,22.0
27.01.1993 12:00,85.0
24.02.1993 12:00,127.0
23.03.1993 12:00,7.0
27.04.1993 12:00,7.0
25.05.1993 12:00,7.0
22.06.1993 12:00,7.0
20.07.1993 12:00,11.0
10.08.1993 12:00,7.0
14.09.1993 12:00,7.0
12.10.1993 12:00,7.0
01.11.1993 12:00,11.0
01.12.1993 12:00,31.0
11.01.1994 12:00,51.0
08.02.1994 12:00,75.0
08.03.1994 12:00,12.0
06.04.1994 12:00,23.0
03.05.1994 12:00,7.0
31.05.1994 12:00,7.0
28.06.1994 12:00,7.0
26.07.1994 12:00,7.0
30.08.1994 12:00,7.0
27.09.1994 12:00,7.0
25.10.1994 12:00,14.0
22.11.1994 12:00,14.0
07.03.1995 12:00,53.0
07.06.1995 12:00,7.0
11.09.1995 12:00,7.0
11.12.1995 12:00,32.0
12.03.1996 12:00,118.0
23.04.1996 12:00,7.0
27.05.1996 12:00,7.0
17.06.1996 12:00,7.0
15.07.1996 12:00,7.0
12.08.1996 12:00,7.0
16.09.1996 12:00,7.0
14.10.1996 12:00,7.0
20.11.1996 12:00,15.0
09.12.1996 12:00,8.0
14.01.1997 12:00,54.0
12.02.1997 12:00,38.0
10.03.1997 12:00,11.0
08.04.1997 12:00,25.0
21.05.1997 12:00,7.0
10.06.1997 12:00,7.0
15.07.1997 12:00,7.0
11.08.1997 12:00,7.0
10.09.1997 12:00,7.0
07.10.1997 12:00,7.0
04.11.1997 12:00,11.0
10.12.1997 12:00,31.0
19.01.1998 12:00,52.0
16.02.1998 12:00,12.0
09.03.1998 12:00,13.0
06.04.1998 12:00,10.0
04.05.1998 12:00,7.0
09.06.1998 12:00,7.0
06.07.1998 12:00,7.0
03.08.1998 12:00,7.0
07.09.1998 12:00,10.0
07.10.1998 12:00,11.0
10.11.1998 12:00,13.0
01.12.1998 12:00,31.0
12.01.1999 12:00,75.0
15.02.1999 12:00,360.0
01.03.1999 12:00,146.0
15.03.1999 12:00,8.0
29.03.1999 12:00,8.0
12.04.1999 12:00,7.0
03.05.1999 12:00,7.0
07.06.1999 12:00,7.0
07.07.1999 12:00,7.0
02.08.1999 12:00,7.0
06.09.1999 12:00,7.0
04.10.1999 12:00,7.0
08.11.1999 12:00,9.0
29.11.1999 12:00,19.0
10.01.2000 12:00,54.0
14.02.2000 12:00,135.0
14.03.2000 12:00,9.0
10.04.2000 12:00,7.0
09.05.2000 12:00,7.0
05.06.2000 12:00,7.0
03.07.2000 12:00,7.0
31.07.2000 12:00,7.0
04.09.2000 12:00,7.0
02.10.2000 12:00,11.0
25.10.2000 12:00,7.0
13.11.2000 12:00,22.0
04.12.2000 12:00,31.0
16.01.2001 12:00,77.0
13.02.2001 12:00,101.0
20.03.2001 12:00,14.0
10.04.2001 12:00,11.0
13.04.2001 12:00,10.0
22.05.2001 12:00,7.0
20.06.2001 12:00,7.0
17.07.2001 12:00,7.0
06.08.2001 12:00,7.0
04.09.2001 12:00,7.0
27.09.2001 12:00,7.0
06.11.2001 12:00,11.0
01.12.2001 12:00,26.0
14.01.2002 12:00,63.0
12.02.2002 12:00,65.0
18.03.2002 12:00,7.0
16.04.2002 12:00,8.0
21.05.2002 12:00,7.0
18.06.2002 12:00,7.0
16.07.2002 12:00,7.0
06.08.2002 12:00,7.0
04.09.2002 12:00,7.0
01.10.2002 12:00,7.0
05.11.2002 12:00,11.0
04.12.2002 12:00,31.0
14.01.2003 12:00,45.0
11.02.2003 12:00,76.0
17.03.2003 12:00,17.0
15.04.2003 12:00,7.0
20.05.2003 12:00,7.0
09.06.2003 12:00,7.0
15.07.2003 12:00,7.0
05.08.2003 12:00,7.0
02.09.2003 12:00,7.0
02.10.2003 12:00,7.0
04.11.2003 12:00,21.0
09.12.2003 12:00,28.0
12.01.2004 12:00,56.0
10.02.2004 12:00,35.0
01.03.2004 12:00,360.0
15.03.2004 12:00,26.0
10.04.2004 12:00,7.0
10.05.2004 12:00,7.0
07.06.2004 12:00,7.0
05.07.2004 12:00,7.0
02.08.2004 12:00,7.0
05.10.2004 12:00,7.0
25.10.2004 12:00,7.0
29.11.2004 12:00,21.0
10.01.2005 12:00,52.0
07.02.2005 12:00,92.0
14.03.2005 12:00,266.0
11.04.2005 12:00,7.0
09.05.2005 12:00,7.0
06.06.2005 12:00,7.0
04.07.2005 12:00,7.0
01.08.2005 12:00,7.0
29.08.2005 12:00,7.0
27.09.2005 12:00,7.0
24.10.2005 12:00,11.0
28.11.2005 12:00,21.0
10.01.2006 12:00,48.0
06.02.2006 12:00,360.0
22.02.2006 12:00,360.0
13.03.2006 12:00,360.0
12.04.2006 12:00,11.0
09.05.2006 12:00,7.0
05.06.2006 12:00,8.0
03.07.2006 12:00,7.0
31.07.2006 12:00,7.0
28.08.2006 12:00,8.0
26.09.2006 12:00,8.0
23.10.2006 12:00,8.0
27.11.2006 12:00,13.0
15.01.2007 12:00,31.0
05.02.2007 12:00,33.0
12.03.2007 12:00,24.0
10.04.2007 12:00,7.0
09.05.2007 12:00,7.0
04.06.2007 12:00,7.0
03.07.2007 12:00,7.0
31.07.2007 12:00,7.0
27.08.2007 12:00,7.0
25.09.2007 12:00,7.0
29.10.2007 12:00,31.0
27.11.2007 12:00,31.0
14.01.2008 12:00,55.0
25.02.2008 12:00,12.0
10.03.2008 12:00,24.0
08.04.2008 12:00,33.0
05.05.2008 12:00,7.0
03.06.2008 12:00,7.0
30.06.2008 12:00,7.0
28.07.2008 12:00,7.0
25.08.2008 12:00,7.0
23.09.2008 12:00,7.0
27.10.2008 12:00,11.0
03.12.2008 12:00,8.0
19.01.2009 12:00,57.0
16.02.2009 12:00,147.0
16.03.2009 12:00,30.0
20.04.2009 12:00,7.0
18.05.2009 12:00,7.0
15.06.2009 12:00,7.0
13.07.2009 12:00,7.0
10.08.2009 12:00,7.0
31.08.2009 12:00,7.0
22.09.2009 12:00,7.0
26.10.2009 12:00,8.0
02.12.2009 12:00,31.0
19.01.2010 12:00,56.0
15.02.2010 12:00,88.0
16.03.2010 12:00,65.0
19.04.2010 12:00,7.0
17.05.2010 12:00,8.0
15.06.2010 12:00,7.0
12.07.2010 12:00,7.0
09.08.2010 12:00,7.0
01.09.2010 12:00,7.0
15.09.2010 12:00,9.0
25.10.2010 12:00,21.0
29.11.2010 12:00,29.0
17.01.2011 12:00,33.0
14.02.2011 12:00,36.0
14.03.2011 12:00,69.0
18.04.2011 12:00,7.0
17.05.2011 12:00,7.0
13.06.2011 12:00,7.0
11.07.2011 12:00,7.0
08.08.2011 12:00,7.0
29.08.2011 12:00,7.0
19.09.2011 12:00,11.0
24.10.2011 12:00,10.0
28.11.2011 12:00,22.0
16.01.2012 12:00,37.0
13.02.2012 12:00,187.0
12.03.2012 12:00,12.0
16.04.2012 12:00,7.0
14.05.2012 12:00,7.0
11.06.2012 12:00,7.0
16.07.2012 12:00,7.0
06.08.2012 12:00,7.0
27.08.2012 12:00,7.0
24.09.2012 12:00,7.0
23.10.2012 12:00,11.0
26.11.2012 12:00,21.0
14.01.2013 12:00,29.0
11.02.2013 12:00,102.0
11.03.2013 12:00,8.0
16.04.2013 12:00,7.0
13.05.2013 12:00,7.0
10.06.2013 12:00,7.0
16.07.2013 12:00,7.0
12.08.2013 12:00,7.0
16.09.2013 12:00,7.0
21.10.2013 12:00,11.0
27.11.2013 12:00,26.0
16.12.2013 12:00,31.0
20.01.2014 12:00,62.0
10.02.2014 12:00,51.0
10.03.2014 12:00,10.0
08.04.2014 12:00,7.0
12.05.2014 12:00,7.0
16.06.2014 12:00,7.0
07.07.2014 12:00,7.0
04.08.2014 12:00,7.0
25.08.2014 12:00,7.0
15.09.2014 12:00,7.0
20.10.2014 12:00,7.0
01.12.2014 12:00,11.0
19.01.2015 12:00,40.0
09.02.2015 12:00,30.0
09.03.2015 12:00,9.0
14.04.2015 12:00,7.0
12.05.2015 12:00,9.0
15.06.2015 12:00,7.0
06.07.2015 12:00,7.0
04.08.2015 12:00,7.0
18.08.2015 12:00,7.0
28.09.2015 12:00,7.0
27.10.2015 12:00,11.0
30.11.2015 12:00,21.0
11.01.2016 12:00,32.0
08.02.2016 12:00,37.0
07.03.2016 12:00,58.0
11.04.2016 12:00,7.0
09.05.2016 12:00,7.0
13.06.2016 12:00,7.0
04.07.2016 12:00,7.0
01.08.2016 12:00,7.0
05.09.2016 12:00,7.0
26.09.2016 12:00,7.0
24.10.2016 12:00,11.0
28.11.2016 12:00,13.0
10.01.2017 12:00,53.0
07.02.2017 12:00,91.0
06.03.2017 12:00,34.0
03.04.2017 12:00,7.0
09.05.2017 12:00,7.0
05.06.2017 12:00,7.0
10.07.2017 12:00,7.0
07.08.2017 12:00,7.0
18.09.2017 12:00,11.0
16.10.2017 12:00,7.0
06.11.2017 12:00,11.0
04.12.2017 12:00,31.0
23.01.2018 12:00,62.0
13.02.2018 12:00,68.0
06.03.2018 12:00,87.0
10.04.2018 12:00,7.0
14.05.2018 12:00,7.0
11.06.2018 12:00,7.0
09.07.2018 12:00,7.0
06.08.2018 12:00,7.0
17.09.2018 12:00,7.0
15.10.2018 12:00,10.0
19.11.2018 12:00,11.0
04.12.2018 12:00,24.0
08.01.2019 12:00,40.0
04.02.2019 12:00,68.0
04.03.2019 12:00,8.0
09.04.2019 12:00,7.0
13.05.2019 12:00,12.0
10.06.2019 12:00,7.0
01.07.2019 12:00,7.0
05.08.2019 12:00,7.0
16.09.2019 12:00,7.0
15.10.2019 12:00,9.0
04.11.2019 12:00,9.0
02.12.2019 12:00,21.0
13.01.2020 12:00,41.0
10.02.2020 12:00,41.0
02.03.2020 12:00,25.0
19.05.2020 12:00,7.0
08.06.2020 12:00,7.0
13.07.2020 12:00,7.0
03.08.2020 12:00,7.0
14.09.2020 12:00,7.0
20.10.2020 12:00,11.0
09.11.2020 12:00,11.0
30.11.2020 12:00,22.0
14.12.2020 12:00,31.0
18.01.2021 12:00,57.0
15.02.2021 12:00,78.0
15.03.2021 12:00,12.0
12.04.2021 12:00,8.0
19.07.2021 12:00,7.0
16.08.2021 12:00,7.0
20.09.2021 12:00,7.0
12.10.2021 12:00,8.0
16.11.2021 12:00,12.0
13.12.2021 12:00,31.0
17.01.2022 12:00,55.0
31.01.2022 12:00,65.0
14.03.2022 12:00,19.0
11.04.2022 12:00,12.0
16.05.2022 12:00,7.0
13.06.2022 12:00,7.0
11.07.2022 12:00,7.0
16.08.2022 12:00,7.0
19.09.2022 12:00,7.0
17.10.2022 12:00,11.0
15.11.2022 12:00,12.0
12.12.2022 12:00,31.0
16.01.2023 12:00,31.0
13.02.2023 12:00,60.0
13.03.2023 12:00,14.0
17.04.2023 12:00,11.0
15.05.2023 12:00,7.0
12.06.2023 12:00,7.0
17.07.2023 12:00,7.0
09.08.2023 12:00,11.0
29.08.2023 12:00,7.0
09.10.2023 12:00,8.0
13.11.2023 12:00,21.0
11.12.2023 12:00,31.0
