date,depth,salinity [g kg-1]
21.01.1988 12:00,0.0,0.107
21.01.1988 12:00,5.0,0.107
21.01.1988 12:00,10.0,0.107
21.01.1988 12:00,20.0,0.107
21.01.1988 12:00,30.0,0.107
21.01.1988 12:00,50.0,0.107
21.01.1988 12:00,100.0,0.114
21.01.1988 12:00,150.0,0.115
21.01.1988 12:00,200.0,0.115
21.01.1988 12:00,250.0,0.116
21.01.1988 12:00,300.0,0.116
21.01.1988 12:00,360.0,0.116
29.02.1988 12:00,0.0,0.112
29.02.1988 12:00,5.0,0.112
29.02.1988 12:00,10.0,0.112
29.02.1988 12:00,20.0,0.112
29.02.1988 12:00,30.0,0.112
29.02.1988 12:00,50.0,0.112
29.02.1988 12:00,100.0,0.114
29.02.1988 12:00,150.0,0.115
29.02.1988 12:00,200.0,0.116
29.02.1988 12:00,250.0,0.116
29.02.1988 12:00,300.0,0.116
29.02.1988 12:00,360.0,0.116
30.03.1988 12:00,0.0,0.112
30.03.1988 12:00,5.0,0.114
30.03.1988 12:00,10.0,0.113
30.03.1988 12:00,20.0,0.113
30.03.1988 12:00,30.0,0.113
30.03.1988 12:00,50.0,0.113
30.03.1988 12:00,100.0,0.113
30.03.1988 12:00,150.0,0.116
30.03.1988 12:00,200.0,0.116
30.03.1988 12:00,250.0,0.116
30.03.1988 12:00,300.0,0.116
30.03.1988 12:00,360.0,0.116
28.04.1988 12:00,0.0,0.114
28.04.1988 12:00,5.0,0.115
28.04.1988 12:00,10.0,0.114
28.04.1988 12:00,20.0,0.113
28.04.1988 12:00,30.0,0.113
28.04.1988 12:00,50.0,0.113
28.04.1988 12:00,100.0,0.114
28.04.1988 12:00,150.0,0.116
28.04.1988 12:00,200.0,0.116
28.04.1988 12:00,250.0,0.116
28.04.1988 12:00,300.0,0.116
28.04.1988 12:00,360.0,0.116
08.06.1988 12:00,0.0,0.104
08.06.1988 12:00,5.0,0.106
08.06.1988 12:00,10.0,0.106
08.06.1988 12:00,20.0,0.11
08.06.1988 12:00,30.0,0.114
08.06.1988 12:00,50.0,0.115
08.06.1988 12:00,100.0,0.116
08.06.1988 12:00,150.0,0.116
08.06.1988 12:00,200.0,0.117
08.06.1988 12:00,250.0,0.117
08.06.1988 12:00,300.0,0.117
08.06.1988 12:00,360.0,0.116
21.07.1988 12:00,0.0,0.096
21.07.1988 12:00,5.0,0.099
21.07.1988 12:00,10.0,0.094
21.07.1988 12:00,20.0,0.104
21.07.1988 12:00,30.0,0.113
21.07.1988 12:00,50.0,0.115
21.07.1988 12:00,100.0,0.116
21.07.1988 12:00,150.0,0.116
21.07.1988 12:00,200.0,0.116
21.07.1988 12:00,250.0,0.116
21.07.1988 12:00,300.0,0.116
21.07.1988 12:00,360.0,0.117
13.10.1988 12:00,0.0,0.095
13.10.1988 12:00,5.0,0.101
13.10.1988 12:00,10.0,0.099
13.10.1988 12:00,20.0,0.106
13.10.1988 12:00,30.0,0.11
13.10.1988 12:00,50.0,0.114
