date,depth,salinity [g kg-1]
28.05.1986 12:00,0,0.293
28.05.1986 12:00,5,0.293
09.07.1986 12:00,0,0.252
09.07.1986 12:00,5,0.244
26.08.1986 12:00,0,0.252
26.08.1986 12:00,5,0.26
30.09.1986 12:00,0,0.273
30.09.1986 12:00,5,0.26
21.10.1986 12:00,0,0.252
21.10.1986 12:00,5,0.252
26.11.1986 12:00,0,0.285
26.11.1986 12:00,5,0.285
18.12.1986 12:00,0,0.313
18.12.1986 12:00,5,0.309
18.02.1987 12:00,0,0.269
18.02.1987 12:00,5,0.277
18.03.1987 12:00,0,0.293
18.03.1987 12:00,5,0.301
15.04.1987 12:00,0,0.317
15.04.1987 12:00,5,0.301
13.05.1987 12:00,0,0.301
13.05.1987 12:00,5,0.309
17.06.1987 12:00,0,0.309
17.06.1987 12:00,5,0.309
15.07.1987 12:00,0,0.301
15.07.1987 12:00,5,0.326
16.08.1987 12:00,0,0.285
16.08.1987 12:00,5,0.285
09.09.1987 12:00,0,0.285
09.09.1987 12:00,5,0.285
16.10.1987 12:00,0,0.301
16.10.1987 12:00,5,0.309
18.11.1987 12:00,0,0.317
18.11.1987 12:00,5,0.317
09.12.1987 12:00,0,0.326
09.12.1987 12:00,5,0.342
27.01.1988 12:00,0,0.342
27.01.1988 12:00,5,0.342
17.02.1988 12:00,0,0.326
17.02.1988 12:00,5,0.334
23.03.1988 12:00,0,0.334
23.03.1988 12:00,5,0.342
20.04.1988 12:00,0,0.317
20.04.1988 12:00,5,0.326
18.05.1988 12:00,0,0.334
18.05.1988 12:00,5,0.334
22.06.1988 12:00,0,0.317
22.06.1988 12:00,5,0.326
20.07.1988 12:00,0,0.269
20.07.1988 12:00,5,0.293
17.08.1988 12:00,0,0.26
17.08.1988 12:00,5,0.285
28.09.1988 12:00,0,0.285
28.09.1988 12:00,5,0.293
19.10.1988 12:00,0,0.293
19.10.1988 12:00,5,0.293
16.11.1988 12:00,0,0.301
16.11.1988 12:00,5,0.301
14.12.1988 12:00,0,0.374
14.12.1988 12:00,5,0.383
25.01.1989 12:00,0,0.377
25.01.1989 12:00,5,0.37
22.02.1989 12:00,0,0.376
22.02.1989 12:00,5,0.373
15.03.1989 12:00,0,0.37
15.03.1989 12:00,5,0.382
24.05.1989 12:00,0,0.379
24.05.1989 12:00,5,0.37
14.06.1989 12:00,0,0.343
14.06.1989 12:00,5,0.345
26.07.1989 12:00,0,0.292
26.07.1989 12:00,5,0.305
16.08.1989 12:00,0,0.282
16.08.1989 12:00,5,0.292
20.09.1989 12:00,0,0.301
20.09.1989 12:00,5,0.303
18.10.1989 12:00,0,0.331
18.10.1989 12:00,5,0.328
15.11.1989 12:00,0,0.331
15.11.1989 12:00,5,0.334
21.12.1989 12:00,0,0.354
21.12.1989 12:00,5,0.354
10.01.1990 12:00,0,0.348
10.01.1990 12:00,5,0.35
21.02.1990 12:00,0,0.349
21.02.1990 12:00,5,0.347
14.03.1990 12:00,0,0.348
14.03.1990 12:00,5,0.35
25.04.1990 12:00,0,0.348
25.04.1990 12:00,5,0.352
30.05.1990 12:00,0,0.345
30.05.1990 12:00,5,0.35
13.06.1990 12:00,0,0.339
13.06.1990 12:00,5,0.339
11.07.1990 12:00,0,0.297
11.07.1990 12:00,5,0.301
22.08.1990 12:00,0,0.285
22.08.1990 12:00,5,0.286
17.09.1990 12:00,0,0.298
17.09.1990 12:00,5,0.304
31.10.1990 12:00,0,0.317
31.10.1990 12:00,5,0.322
14.11.1990 12:00,0,0.332
14.11.1990 12:00,5,0.333
16.01.1991 12:00,0,0.344
16.01.1991 12:00,5,0.344
13.02.1991 12:00,0,0.363
13.02.1991 12:00,5,0.354
20.03.1991 12:00,0,0.354
20.03.1991 12:00,5,0.36
17.04.1991 12:00,0,0.351
17.04.1991 12:00,5,0.348
22.05.1991 12:00,0,0.35
22.05.1991 12:00,5,0.357
12.06.1991 12:00,0,0.353
12.06.1991 12:00,5,0.353
22.07.1991 12:00,0,0.291
22.07.1991 12:00,5,0.296
21.08.1991 12:00,0,0.275
21.08.1991 12:00,5,0.275
16.09.1991 12:00,0,0.287
16.09.1991 12:00,5,0.287
06.11.1991 12:00,0,0.331
06.11.1991 12:00,5,0.332
11.12.1991 12:00,0,0.344
11.12.1991 12:00,5,0.344
15.01.1992 12:00,0,0.335
15.01.1992 12:00,5,0.344
19.02.1992 12:00,0,0.36
19.02.1992 12:00,5,0.359
11.03.1992 12:00,0,0.361
11.03.1992 12:00,5,0.362
08.04.1992 12:00,0,0.355
08.04.1992 12:00,5,0.357
