date,depth,salinity [g kg-1]
18.01.1999 12:00,0,0.258
18.01.1999 12:00,5,0.259
18.01.1999 12:00,10,0.259
18.01.1999 12:00,15,0.26
18.01.1999 12:00,20,0.259
18.01.1999 12:00,25,0.259
18.01.1999 12:00,30,0.259
18.01.1999 12:00,40,0.26
18.01.1999 12:00,100,0.26
18.01.1999 12:00,140,0.26
18.01.1999 12:00,152,0.26
26.02.1999 12:00,0,0.234
26.02.1999 12:00,5,0.234
26.02.1999 12:00,10,0.235
26.02.1999 12:00,15,0.236
26.02.1999 12:00,20,0.236
26.02.1999 12:00,25,0.237
26.02.1999 12:00,30,0.234
26.02.1999 12:00,40,0.237
26.02.1999 12:00,100,0.238
26.02.1999 12:00,140,0.236
26.02.1999 12:00,152,0.238
29.03.1999 12:00,0,0.259
29.03.1999 12:00,5,0.26
29.03.1999 12:00,10,0.259
29.03.1999 12:00,15,0.262
29.03.1999 12:00,20,0.262
29.03.1999 12:00,25,0.262
29.03.1999 12:00,30,0.262
29.03.1999 12:00,40,0.262
29.03.1999 12:00,100,0.263
29.03.1999 12:00,140,0.267
29.03.1999 12:00,152,0.269
20.04.1999 12:00,0,0.259
20.04.1999 12:00,5,0.262
20.04.1999 12:00,10,0.262
20.04.1999 12:00,15,0.262
20.04.1999 12:00,20,0.263
20.04.1999 12:00,25,0.263
20.04.1999 12:00,30,0.262
20.04.1999 12:00,40,0.263
20.04.1999 12:00,100,0.264
20.04.1999 12:00,140,0.257
20.04.1999 12:00,152,0.258
19.05.1999 12:00,5,0.265
19.05.1999 12:00,10,0.265
19.05.1999 12:00,15,0.269
19.05.1999 12:00,20,0.268
19.05.1999 12:00,25,0.268
19.05.1999 12:00,30,0.268
19.05.1999 12:00,40,0.269
19.05.1999 12:00,100,0.269
19.05.1999 12:00,140,0.27
19.05.1999 12:00,152,0.27
14.06.1999 12:00,0,0.237
14.06.1999 12:00,5,0.245
14.06.1999 12:00,10,0.258
14.06.1999 12:00,15,0.262
14.06.1999 12:00,20,0.264
14.06.1999 12:00,25,0.265
14.06.1999 12:00,30,0.265
14.06.1999 12:00,40,0.265
14.06.1999 12:00,100,0.266
